#{"t_start": 1788108977.863484, "env_id": "None"}
r,l,t,phase,player_health,episode_enemies_destroyed,episode_spawners_destroyed,episode_phases_advanced,episode_damage_taken,episode_xp_earned,episode_max_level
-16.333924,157,16.301115,1,0.0,3,1,0,112.0,65.0,2
-37.933621,100,16.518113,1,0.0,0,0,0,112.0,0.0,1
-21.453485,89,16.678113,1,0.0,1,1,0,112.0,45.0,2
-38.23221,143,16.991119,1,0.0,0,0,0,112.0,0.0,1
-37.828211,139,17.253114,1,0.0,1,0,0,112.0,10.0,1
-21.559366,292,17.794113,1,0.0,1,1,0,112.0,45.0,2
-23.35008,139,18.055115,1,0.0,0,1,0,112.0,35.0,1
74.912006,640,19.290116,2,0.0,20,4,1,144.48000000000002,365.0,5
-36.770628,179,19.637114,1,0.0,1,0,0,112.0,10.0,1
-32.193688,179,19.996114,1,0.0,4,0,0,112.0,40.0,2
-35.239291,144,20.298113,1,0.0,2,0,0,112.0,20.0,1
-22.115423,117,20.516114,1,0.0,1,1,0,112.0,45.0,2
-39.432493,80,20.672113,1,0.0,0,0,0,112.0,0.0,1
-20.410992,194,21.043113,1,0.0,1,1,0,110.88,45.0,2
-24.076861,237,21.516115,1,0.0,0,1,0,112.0,35.0,1
-20.747169,146,21.771115,1,0.0,1,1,0,112.0,45.0,2
-38.192043,149,22.077117,1,0.0,0,0,0,112.0,0.0,1
-21.730771,103,22.283116,1,0.0,1,1,0,112.0,45.0,2
-37.687566,252,22.845113,1,0.0,1,0,0,112.0,10.0,1
-31.217518,215,23.317114,1,0.0,4,0,0,112.0,40.0,2
-23.16165,102,23.518114,1,0.0,0,1,0,112.0,35.0,1
-18.544565,177,23.851634,1,0.0,2,1,0,112.0,55.0,2
-36.336489,137,24.12364,1,0.0,1,0,0,112.0,10.0,1
-21.819893,128,24.37964,1,0.0,1,1,0,112.0,45.0,2
-20.18112,162,24.70864,1,0.0,2,1,0,112.0,55.0,2
-37.489012,138,24.979641,1,0.0,0,0,0,112.0,0.0,1
-36.825527,137,25.260641,1,0.0,1,0,0,112.0,10.0,1
-35.172192,116,25.49064,1,0.0,1,0,0,112.0,10.0,1
-24.924719,177,25.857642,1,0.0,1,1,0,140.0,45.0,2
-19.563351,297,26.468639,1,0.0,3,1,0,112.0,65.0,2
-33.603045,133,26.72964,1,0.0,3,0,0,112.0,30.0,1
-28.654057,223,27.199641,1,0.0,7,0,0,112.0,70.0,2
-34.14011,176,27.567642,1,0.0,4,0,0,112.0,40.0,2
-32.652655,175,27.90564,1,0.0,5,0,0,112.0,50.0,2
-38.594183,216,28.37764,1,0.0,0,0,0,112.0,0.0,1
-38.600267,128,28.621642,1,0.0,0,0,0,112.0,0.0,1
-38.317811,109,28.83464,1,0.0,0,0,0,112.0,0.0,1
-32.321207,162,29.163642,1,0.0,3,0,0,112.0,30.0,1
-20.966022,161,29.48764,1,0.0,0,1,0,112.0,35.0,1
-35.862697,127,29.75264,1,0.0,0,0,0,112.0,0.0,1
-36.59478,90,29.92264,1,0.0,0,0,0,112.0,0.0,1
-22.770885,149,30.195642,1,0.0,1,1,0,112.0,45.0,2
-23.40741,151,30.484641,1,0.0,3,1,0,154.0,65.0,2
-38.159242,118,30.72264,1,0.0,0,0,0,112.0,0.0,1
-22.426476,174,31.095641,1,0.0,1,1,0,112.0,45.0,2
-21.170787,182,31.48764,1,0.0,1,1,0,112.0,45.0,2
33.86286,237,31.975641,2,0.0,6,2,1,101.92,155.0,3
-23.441458,108,32.19364,1,0.0,0,1,0,112.0,35.0,1
54.154187,395,32.95364,2,0.0,12,3,1,101.92,250.0,4
-37.142195,123,33.190639,1,0.0,0,0,0,112.0,0.0,1
-37.162186,177,33.565644,1,0.0,0,0,0,112.0,0.0,1
-34.417758,194,33.989641,1,0.0,2,0,0,112.0,20.0,1
-35.886747,126,34.231692,1,0.0,0,0,0,112.0,0.0,1
-37.623967,165,34.59364,1,0.0,0,0,0,140.0,0.0,1
-37.96518,233,35.12964,1,0.0,1,0,0,126.0,10.0,1
-23.302798,132,35.419639,1,0.0,1,1,0,126.0,45.0,2
-36.758936,130,35.698641,1,0.0,0,0,0,112.0,0.0,1
-22.376448,137,35.98264,1,0.0,0,1,0,112.0,35.0,1
-36.880002,116,36.228641,1,0.0,1,0,0,112.0,10.0,1
-37.844144,170,36.63664,1,0.0,0,0,0,112.0,0.0,1
26.798526,194,37.04264,2,0.0,2,2,1,101.92,115.0,3
105.414901,460,37.93464,3,0.0,12,5,2,159.936,345.0,5
-21.558047,143,38.223641,1,0.0,2,1,0,112.0,55.0,2
-22.796461,128,38.47264,1,0.0,0,1,0,112.0,35.0,1
