episode,seed,reward,phase,phases_advanced,simulation_steps,decisions,end_reason,survived_time_limit,enemies_destroyed,spawners_destroyed,damage_dealt,damage_taken,shots_fired,projectile_hits,accuracy,hits_per_projectile,player_level,xp_earned,weapon_name,upgrades_chosen,phase_rewards_chosen,bosses_destroyed,minibosses_destroyed,boss_skills_dodged,boss_skill_hits,boss_rewards_chosen,drone_level,barrier_charges,build_summary,contact_events,crowd_fraction,wall_fraction,mean_enemy_clearance,phase_diagnostics
11,53010,870.261305,9,8,4907,1227,player_destroyed,False,110,27,16907.5552,265.2,604,574,0.950331,0.950331,7,2131.0,Multi-Beam Array,6,6,2,3,1,2,2,2,0,damage:1;fire_rate:1;multishot:2;drone:2;capacitor:2;artifact:1,20,0.29095354523227385,0.23227383863080683,98.18848513127932,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 168}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 37.128, ""frames"": 656}, ""3"": {""boss_casts"": 2, ""boss_dodges"": 1, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 424}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 500}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 520}, ""6"": {""boss_casts"": 2, ""boss_dodges"": 0, ""boss_hits"": 1, ""contacts"": 4, ""damage"": 74.12, ""frames"": 484}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 17.36, ""frames"": 544}, ""8"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 53.760000000000005, ""frames"": 1396}, ""9"": {""boss_casts"": 1, ""boss_dodges"": 0, ""boss_hits"": 1, ""contacts"": 4, ""damage"": 82.832, ""frames"": 215}}"
12,53011,465.524085,6,5,2429,608,player_destroyed,False,36,16,6615.69,126.2,264,227,0.859848,0.859848,5,1011.0,Multi-Beam Array,4,4,1,1,1,1,1,1,0,damage:2;multishot:2;drone:1;artifact:1,8,0.17927631578947367,0.07236842105263158,103.00768174447867,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 184}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 256}, ""3"": {""boss_casts"": 2, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 396}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 15.680000000000001, ""frames"": 592}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 16.24, ""frames"": 628}, ""6"": {""boss_casts"": 2, ""boss_dodges"": 1, ""boss_hits"": 1, ""contacts"": 5, ""damage"": 94.28, ""frames"": 373}}"
13,53012,746.979249,8,7,4991,1248,player_destroyed,False,98,23,13975.2716,181.64,334,441,1.0,1.320359,6,1767.0,Rapid Pulse,5,5,2,1,4,1,2,2,0,damage:2;fire_rate:1;piercing:1;drone:2;capacitor:1,12,0.11538461538461539,0.030448717948717948,111.95547710790127,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 184}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 620}, ""3"": {""boss_casts"": 3, ""boss_dodges"": 1, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 608}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 612}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 612}, ""6"": {""boss_casts"": 4, ""boss_dodges"": 3, ""boss_hits"": 1, ""contacts"": 2, ""damage"": 74.12, ""frames"": 812}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 1112}, ""8"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 9, ""damage"": 107.52000000000001, ""frames"": 431}}"
14,53013,555.037564,6,5,5638,1410,player_destroyed,False,97,16,11927.707,128.08,379,352,0.92876,0.92876,5,1302.0,Pulse Cannon,4,4,1,0,12,2,1,2,0,damage:1;homing:1;drone:2;capacitor:1,4,0.12695035460992907,0.05319148936170213,102.97034768646893,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 424}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 484}, ""3"": {""boss_casts"": 2, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 444}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 772}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 964}, ""6"": {""boss_casts"": 13, ""boss_dodges"": 10, ""boss_hits"": 2, ""contacts"": 4, ""damage"": 128.08, ""frames"": 2550}}"
15,53014,586.718777,7,6,3343,836,player_destroyed,False,55,19,9126.965,122.108,295,275,0.932203,0.932203,5,1292.0,Nova Payload,4,4,2,0,2,0,2,1,0,damage:1;multishot:1;splash:1;drone:1;riftbreaker:1;artifact:1,8,0.13636363636363635,0.12200956937799043,132.53783540259556,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 168}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 396}, ""3"": {""boss_casts"": 2, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 496}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 692}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 708}, ""6"": {""boss_casts"": 3, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 60.480000000000004, ""frames"": 532}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 61.628, ""frames"": 351}}"
16,53015,530.366781,6,5,4781,1196,player_destroyed,False,83,16,10227.6453,135.128,312,279,0.894231,0.894231,5,1293.0,Pulse Cannon,4,4,1,1,5,0,1,2,0,damage:2;drone:2;riftbreaker:2;artifact:1,10,0.1588628762541806,0.03260869565217391,106.37476242666617,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 204}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 22.568, ""frames"": 556}, ""3"": {""boss_casts"": 2, ""boss_dodges"": 1, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 520}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 15.680000000000001, ""frames"": 1384}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 16.24, ""frames"": 960}, ""6"": {""boss_casts"": 6, ""boss_dodges"": 4, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 80.64, ""frames"": 1157}}"
17,53016,1157.120908,11,10,5527,1382,player_destroyed,False,114,37,21616.3253,237.164,632,703,1.0,1.112342,7,2554.0,Multi-Beam Array,6,7,3,2,3,1,3,3,0,damage:1;multishot:2;piercing:1;drone:3;critical:2;artifact:2,18,0.1410998552821997,0.12735166425470332,127.28606401233577,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 460}, ""10"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 29.512, ""frames"": 600}, ""11"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 89.17999999999999, ""frames"": 411}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 448}, ""3"": {""boss_casts"": 2, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 432}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 716}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 0.0, ""frames"": 480}, ""6"": {""boss_casts"": 2, ""boss_dodges"": 0, ""boss_hits"": 1, ""contacts"": 3, ""damage"": 74.12, ""frames"": 380}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 0.0, ""frames"": 712}, ""8"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 388}, ""9"": {""boss_casts"": 3, ""boss_dodges"": 1, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 44.352, ""frames"": 500}}"
18,53017,554.957782,6,5,6193,1549,player_destroyed,False,118,16,11954.88,134.3984,463,428,0.924406,0.924406,6,1428.0,Nova Payload,5,4,1,0,5,2,1,0,0,hull:1;damage:1;fire_rate:1;splash:1;capacitor:1,4,0.08844415752098128,0.05487411233053583,116.3162750591881,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 640}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 584}, ""3"": {""boss_casts"": 3, ""boss_dodges"": 1, ""boss_hits"": 1, ""contacts"": 0, ""damage"": 23.878400000000003, ""frames"": 620}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 1352}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 16.24, ""frames"": 1484}, ""6"": {""boss_casts"": 8, ""boss_dodges"": 4, ""boss_hits"": 1, ""contacts"": 3, ""damage"": 94.28, ""frames"": 1513}}"
19,53018,223.873545,4,3,1554,389,player_destroyed,False,16,8,2819.14,119.5264,92,90,0.978261,0.978261,4,532.0,Nova Payload,3,2,1,0,0,1,1,1,0,fire_rate:1;splash:1;homing:1;drone:1;artifact:1,5,0.13624678663239073,0.2236503856041131,139.58995223334213,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 184}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 460}, ""3"": {""boss_casts"": 2, ""boss_dodges"": 0, ""boss_hits"": 1, ""contacts"": 0, ""damage"": 23.878400000000003, ""frames"": 376}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 95.648, ""frames"": 534}}"
20,53019,370.196057,5,4,3158,790,player_destroyed,False,47,13,5594.3755,129.92,190,176,0.926316,0.926316,4,890.0,Pulse Cannon,3,3,1,0,3,0,1,2,0,regen:1;drone:2;critical:1;riftbreaker:1;artifact:1,10,0.15822784810126583,0.2708860759493671,99.6536626198146,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 256}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 368}, ""3"": {""boss_casts"": 3, ""boss_dodges"": 3, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 660}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 1172}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 10, ""damage"": 129.92, ""frames"": 702}}"
