episode,seed,reward,phase,phases_advanced,simulation_steps,decisions,end_reason,survived_time_limit,enemies_destroyed,spawners_destroyed,damage_dealt,damage_taken,shots_fired,projectile_hits,accuracy,hits_per_projectile,player_level,xp_earned,weapon_name,upgrades_chosen,phase_rewards_chosen,bosses_destroyed,minibosses_destroyed,boss_skills_dodged,boss_skill_hits,boss_rewards_chosen,drone_level,barrier_charges,build_summary,contact_events,crowd_fraction,wall_fraction,mean_enemy_clearance,phase_diagnostics
15,53014,97.238817,3,2,1446,362,player_destroyed,False,3,5,807.0,167.2384,39,35,0.897436,0.897436,2,212.0,Pulse Cannon,1,2,0,0,2,1,0,0,0,homing:1,12,0.40607734806629836,0.6408839779005525,65.78194853314096,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 56.0, ""frames"": 228}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 6, ""damage"": 87.36, ""frames"": 612}, ""3"": {""boss_casts"": 3, ""boss_dodges"": 2, ""boss_hits"": 1, ""contacts"": 2, ""damage"": 23.878400000000003, ""frames"": 606}}"
16,53015,181.917477,4,3,2480,620,player_destroyed,False,10,7,2123.29,204.2208,168,83,0.494048,0.494048,3,466.0,Multi-Beam Array,2,2,1,0,0,2,1,0,0,multishot:1,13,0.43870967741935485,0.6483870967741936,84.59447527047944,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.0, ""frames"": 284}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.56, ""frames"": 384}, ""3"": {""boss_casts"": 2, ""boss_dodges"": 0, ""boss_hits"": 2, ""contacts"": 1, ""damage"": 65.9008, ""frames"": 484}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 10, ""damage"": 109.76, ""frames"": 1328}}"
17,53016,106.23299,3,2,1585,397,player_destroyed,False,5,5,987.8,104.72,46,38,0.826087,0.826087,2,224.0,Pulse Cannon,1,2,0,0,1,0,0,0,0,range:1,6,0.38287153652392947,0.4256926952141058,200.46214518217982,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.0, ""frames"": 400}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 416}, ""3"": {""boss_casts"": 4, ""boss_dodges"": 1, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 90.72000000000001, ""frames"": 769}}"
18,53017,55.196666,2,1,822,206,player_destroyed,False,3,4,679.75,109.368,30,25,0.833333,0.833333,2,160.0,Pulse Cannon,1,1,0,0,0,0,0,0,0,regen:1,7,0.3058252427184466,0.46601941747572817,250.55166660793478,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.0, ""frames"": 372}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 6, ""damage"": 95.36800000000001, ""frames"": 450}}"
19,53018,54.848158,2,1,735,184,player_destroyed,False,2,4,667.0,100.24,39,29,0.74359,0.74359,2,154.0,Pulse Cannon,1,1,0,0,0,0,0,0,0,homing:1,9,0.3641304347826087,0.5380434782608695,82.48726056037086,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 42.0, ""frames"": 240}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 6, ""damage"": 58.24, ""frames"": 495}}"
20,53019,118.457101,3,2,1435,359,player_destroyed,False,10,5,1522.5,113.5994,57,43,0.754386,0.754386,3,254.0,Pulse Cannon,2,2,0,0,2,1,0,1,0,shield:1;drone:1;critical:1,6,0.14206128133704735,0.4818941504178273,144.60061288050528,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.0, ""frames"": 276}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 29.12, ""frames"": 552}, ""3"": {""boss_casts"": 3, ""boss_dodges"": 2, ""boss_hits"": 1, ""contacts"": 3, ""damage"": 70.47936000000001, ""frames"": 607}}"
21,53020,122.177449,3,2,1426,357,player_destroyed,False,8,5,1770.5128,113.1648,64,54,0.84375,0.84375,3,242.0,Pulse Cannon,2,2,0,0,0,2,0,2,0,drone:2;leech:1,5,0.15126050420168066,0.49299719887955185,109.24426468678453,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 228}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 29.12, ""frames"": 516}, ""3"": {""boss_casts"": 3, ""boss_dodges"": 0, ""boss_hits"": 2, ""contacts"": 3, ""damage"": 84.04480000000001, ""frames"": 682}}"
22,53021,100.33695,3,2,1172,293,player_destroyed,False,4,5,1043.425,159.3088,46,33,0.717391,0.717391,2,218.0,Prism Laser,1,2,0,0,0,2,0,0,0,laser:1,7,0.32081911262798635,0.6450511945392492,78.82739246622273,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 28.0, ""frames"": 328}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 29.12, ""frames"": 388}, ""3"": {""boss_casts"": 2, ""boss_dodges"": 0, ""boss_hits"": 2, ""contacts"": 3, ""damage"": 102.18880000000001, ""frames"": 456}}"
23,53022,112.38854,3,2,1647,412,player_destroyed,False,5,5,1511.85,109.088,67,55,0.820896,0.820896,2,224.0,Pulse Cannon,1,2,0,0,0,0,0,0,0,homing:1,7,0.27427184466019416,0.6262135922330098,112.13333651115434,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 308}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 72.8, ""frames"": 836}, ""3"": {""boss_casts"": 2, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 36.288000000000004, ""frames"": 503}}"
24,53023,100.128237,3,2,1106,277,player_destroyed,False,2,5,1003.05,173.8688,50,37,0.74,0.74,2,206.0,Rapid Pulse,1,2,0,0,0,2,0,0,0,fire_rate:1,8,0.259927797833935,0.7256317689530686,77.87617082481226,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 28.0, ""frames"": 224}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 43.68, ""frames"": 492}, ""3"": {""boss_casts"": 2, ""boss_dodges"": 0, ""boss_hits"": 2, ""contacts"": 3, ""damage"": 102.18880000000001, ""frames"": 390}}"
25,53024,42.366398,2,1,1093,274,player_destroyed,False,6,3,813.0,109.368,26,21,0.807692,0.807692,2,148.0,Pulse Cannon,1,1,0,0,0,0,0,1,0,homing:1;drone:1,7,0.28102189781021897,0.718978102189781,217.85743370735622,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.0, ""frames"": 412}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 6, ""damage"": 95.36800000000001, ""frames"": 681}}"
26,53025,119.965694,3,2,1461,366,player_destroyed,False,10,5,1654.3,116.7488,67,47,0.701493,0.701493,3,254.0,Pulse Cannon,2,2,0,0,0,2,0,1,0,damage:1;engine:1;drone:1,5,0.2568306010928962,0.7131147540983607,104.64066852647953,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 344}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.56, ""frames"": 508}, ""3"": {""boss_casts"": 3, ""boss_dodges"": 0, ""boss_hits"": 2, ""contacts"": 4, ""damage"": 102.18880000000001, ""frames"": 609}}"
27,53026,121.674732,3,2,1497,375,player_destroyed,False,7,5,1771.15,107.968,65,53,0.815385,0.815385,3,236.0,Multi-Beam Array,2,2,0,0,2,0,0,1,0,fire_rate:1;multishot:1;drone:1,8,0.27466666666666667,0.7493333333333333,107.52983752176661,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 28.0, ""frames"": 216}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 43.68, ""frames"": 588}, ""3"": {""boss_casts"": 3, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 36.288000000000004, ""frames"": 693}}"
28,53027,116.880206,3,2,1667,417,player_destroyed,False,8,5,1183.25,107.9232,50,42,0.84,0.84,3,242.0,Rapid Pulse,2,2,0,0,1,3,0,0,0,fire_rate:1;homing:1,2,0.10311750599520383,0.45083932853717024,202.3681134065012,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 380}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 464}, ""3"": {""boss_casts"": 4, ""boss_dodges"": 1, ""boss_hits"": 3, ""contacts"": 2, ""damage"": 107.92320000000001, ""frames"": 823}}"
29,53028,39.204879,2,1,684,171,player_destroyed,False,3,3,676.0,100.8,35,20,0.571429,0.571429,2,130.0,Pulse Cannon,1,1,0,0,0,0,0,1,0,damage:1;drone:1,7,0.3508771929824561,0.30994152046783624,116.62109836651315,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 28.0, ""frames"": 308}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 72.8, ""frames"": 376}}"
30,53029,107.695262,3,2,1314,329,player_destroyed,False,6,5,1493.475,173.6784,48,46,0.958333,0.958333,2,230.0,Pulse Cannon,1,2,0,0,1,1,0,1,0,engine:1;drone:1,9,0.3768996960486322,0.6261398176291794,112.35609287120194,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 232}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 6, ""damage"": 95.36800000000001, ""frames"": 636}, ""3"": {""boss_casts"": 2, ""boss_dodges"": 1, ""boss_hits"": 1, ""contacts"": 3, ""damage"": 78.31040000000002, ""frames"": 446}}"
