#{"t_start": 1788027529.1706028, "env_id": "None"}
r,l,t,phase,player_health
-54.463193,625,486.146914,2,0.0
-54.604773,689,487.809443,2,0.0
-6.141852,1680,491.594268,1,0.0
-26.382488,694,493.103009,1,0.0
-49.494824,687,494.615857,1,0.0
-18.228233,789,496.488168,2,0.0
-37.869729,1449,499.682934,1,0.0
-40.006228,689,501.357987,2,0.0
-44.474984,627,516.927715,1,0.0
-53.858549,991,519.050834,1,0.0
-61.259499,654,520.514,2,0.0
-64.397978,508,521.709733,2,0.0
-46.48854,928,523.613587,1,0.0
-41.312724,554,524.874056,1,0.0
-53.663049,736,526.700931,2,0.0
-61.11296,791,528.677281,1,0.0
-42.331846,357,529.458469,2,0.0
-40.110016,570,530.821507,2,0.0
-61.3264,445,531.752338,2,0.0
-48.926094,976,533.950842,1,0.0
-65.729078,847,536.046925,2,0.0
-41.097017,1178,538.593982,1,0.0
-60.302226,759,540.318744,1,0.0
-25.429987,1346,543.206877,1,0.0
88.450221,1800,546.946291,2,100.0
-58.510874,394,547.872234,2,0.0
58.392633,1800,551.515308,2,72.0
-47.915779,545,552.548442,1,0.0
-55.213618,425,553.506738,2,0.0
-21.521875,626,554.876967,1,0.0
-55.996064,1055,557.05158,1,0.0
-62.351052,611,558.450763,2,0.0
-47.592386,563,559.634294,1,0.0
-62.81921,485,560.798697,2,0.0
-32.338626,1359,564.183103,1,0.0
-67.047784,644,565.749164,2,0.0
-53.812219,535,566.682707,1,0.0
15.640961,1800,570.744266,1,2.0
-56.475391,710,587.975033,1,0.0
-41.464667,1045,590.52006,1,0.0
-73.249809,573,591.966187,2,0.0
-49.325125,1027,594.347331,1,0.0
-46.905386,466,595.497438,2,0.0
-45.501876,1761,599.484625,1,0.0
33.372186,1800,603.434817,1,16.0
-75.791833,614,604.858564,2,0.0
-31.786957,574,606.184552,1,0.0
-40.932429,680,607.836436,2,0.0
-39.520459,634,609.349543,2,0.0
-53.484848,503,610.557136,2,0.0
-51.685556,915,612.604973,1,0.0
-48.660734,568,613.998668,2,0.0
-47.324314,490,615.158885,1,0.0
-103.078232,1341,618.310075,1,0.0
77.697242,1800,621.950595,2,86.0
-32.457751,503,623.108632,2,0.0
-51.892217,486,624.202779,1,0.0
-52.021782,615,625.528107,1,0.0
-55.673391,828,627.520111,1,0.0
-46.152873,575,628.940274,2,0.0
-43.588454,393,629.800917,2,0.0
-43.849016,399,630.707778,2,0.0
-54.134626,419,631.712078,2,0.0
-63.098189,927,633.860235,1,0.0
-46.709596,452,634.935136,2,0.0
-54.171649,705,636.649485,2,0.0
-47.078198,495,637.933756,1,0.0
-24.626546,1119,640.372671,1,0.0
-73.198237,1008,642.811741,1,0.0
-78.45571,998,655.580306,1,0.0
-75.23039,691,657.310716,1,0.0
-25.41968,1279,659.958008,1,0.0
-66.302338,627,661.582797,2,0.0
-42.547035,631,662.967886,1,0.0
-72.228703,1172,666.093338,2,0.0
-7.708428,1800,670.56142,1,30.0
-54.521017,344,671.356025,2,0.0
-73.413798,1248,674.192414,1,0.0
-55.997553,659,675.736316,1,0.0
-56.879275,447,676.914801,2,0.0
-79.745823,759,678.937645,2,0.0
-53.215971,435,679.955512,2,0.0
-69.985284,1013,682.565066,2,0.0
-58.4837,930,684.67789,1,0.0
-69.509243,654,686.1978,1,0.0
-69.155296,649,687.653436,2,0.0
-52.654103,414,688.560219,2,0.0
-68.490506,955,690.886442,1,0.0
-51.183641,753,692.629722,1,0.0
-44.079795,607,694.067501,2,0.0
-58.024709,760,695.983513,1,0.0
-80.214573,816,697.779279,1,0.0
-51.570504,522,699.117216,2,0.0
-52.912888,416,700.142258,2,0.0
-42.940768,438,701.249561,2,0.0
-39.693216,435,702.49861,2,0.0
-45.1311,400,703.426297,1,0.0
-72.415636,762,705.108511,1,0.0
-39.727455,1800,709.846183,1,2.0
-73.524536,681,711.416468,2,0.0
-58.390871,1709,730.915689,1,0.0
-69.800854,700,732.677047,2,0.0
-73.039277,764,734.494614,2,0.0
-71.147561,1028,737.130444,2,0.0
-73.665564,1343,740.184944,1,0.0
-65.078788,1381,743.499719,1,0.0
-27.520735,1197,746.287818,1,0.0
-61.716359,1017,748.768217,1,0.0
-55.843262,573,750.197598,2,0.0
-66.865221,1075,752.934367,1,0.0
-23.996529,1800,757.090262,1,2.0
-60.564088,1140,759.841453,1,0.0
-76.781711,1019,762.453036,1,0.0
-41.010775,1155,765.107398,2,0.0
-85.472134,1255,768.203923,1,0.0
-53.77916,1150,771.091712,1,0.0
-54.832687,1125,773.745276,1,0.0
-50.537169,793,775.676797,2,0.0
-65.470286,665,777.28551,2,0.0
-40.161594,902,779.469443,1,0.0
21.464967,1800,783.557584,1,30.0
-28.481854,1194,786.416415,1,0.0
-49.975853,485,787.625183,2,0.0
2.850247,1481,809.3577,1,0.0
-43.305027,743,811.22966,1,0.0
-59.261332,747,812.920044,1,0.0
61.27861,1800,816.970225,1,72.0
-66.246151,885,819.054133,1,0.0
16.698964,1800,823.030236,2,30.0
-62.534457,739,824.83992,2,0.0
-83.479245,1141,827.662501,1,0.0
-61.263322,710,829.333187,2,0.0
-45.057168,659,830.93007,2,0.0
-55.651262,609,832.3908,2,0.0
-46.182316,961,834.667562,1,0.0
-65.331512,702,836.223265,1,0.0
-44.989251,487,837.453368,2,0.0
-7.960051,1800,841.466272,1,16.0
-17.549933,436,842.516893,2,0.0
-84.041713,1202,845.45137,1,0.0
-56.521187,980,847.849343,2,0.0
-52.757246,1114,850.682532,1,0.0
-17.13236,1199,853.644493,1,0.0
-34.690914,823,855.535648,1,0.0
-46.83093,502,856.706939,2,0.0
-45.34986,620,858.185381,1,0.0
-49.986974,715,859.880358,2,0.0
-61.234106,1380,863.514162,2,0.0
-41.194873,1008,865.749494,1,0.0
-57.827391,516,866.974824,2,0.0
-48.848457,386,867.840235,2,0.0
