comparison,variant,run_seed,episode,seed,epsilon,episode_reward,extrinsic_reward,intrinsic_reward,learning_reward,steps,status,victory,death,death_cause,truncated,unique_states,unique_positions,visited_positions,q_table_states
intrinsic,intrinsic,333,96,428,0.9058558558558558,1.0,1.0,0.013331888301466543,1.0133318883014621,300,truncated,0,0,,1,38,33,0:0|0:1|1:0|1:2|2:0|2:2|3:0|3:1|3:2|4:2|4:3|4:4|5:0|5:1|5:2|6:0|6:1|6:2|7:0|7:2|7:3|7:4|7:5|7:6|8:0|8:4|8:5|9:0|9:1|9:2|9:3|9:4|9:5,357
intrinsic,intrinsic,333,97,429,0.9048648648648648,1.0,1.0,0.016720671037869683,1.0167206710378671,300,truncated,0,0,,1,50,40,0:0|0:1|0:2|1:2|2:2|3:1|3:2|3:5|3:7|4:2|4:3|4:4|4:5|4:6|4:7|5:0|5:1|5:2|5:4|5:5|5:6|5:7|5:8|6:0|6:1|6:2|6:4|6:7|6:8|7:0|7:5|7:6|7:7|7:8|8:0|9:0|9:1|9:2|9:3|9:4,357
intrinsic,intrinsic,333,98,430,0.9038738738738739,3.0,3.0,0.009826252817778346,3.009826252817777,142,victory,1,0,,0,47,38,0:0|0:1|0:2|1:0|1:2|2:0|2:2|2:3|3:0|3:1|3:2|4:2|4:3|4:4|5:0|5:1|5:2|5:7|5:8|5:9|6:1|6:2|6:7|6:8|6:9|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:5|8:7|8:8|8:9|9:9,358
intrinsic,intrinsic,333,99,431,0.9028828828828829,1.0,1.0,0.016412545854228775,1.016412545854226,300,truncated,0,0,,1,50,37,0:0|0:1|1:0|2:0|3:0|3:1|3:2|3:5|4:2|4:3|4:4|4:5|4:6|5:0|5:1|5:2|5:4|5:5|6:0|6:1|6:2|6:4|7:0|7:2|7:3|7:4|7:5|7:6|7:7|8:0|8:4|8:5|9:0|9:1|9:2|9:3|9:4,358
intrinsic,intrinsic,333,100,432,0.9018918918918919,3.0,3.0,0.013508003816573317,3.013508003816572,216,victory,1,0,,0,51,43,0:0|0:1|0:2|1:2|2:2|2:3|2:4|2:5|3:1|3:2|4:2|4:3|4:4|4:7|5:0|5:1|5:2|5:4|5:5|5:6|5:7|5:8|5:9|6:1|6:2|6:4|6:7|6:8|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:4|8:7|8:8|8:9|9:4|9:7|9:9,358
intrinsic,intrinsic,333,101,433,0.9009009009009009,2.0,2.0,0.018005978720601983,2.018005978720598,300,truncated,0,0,,1,63,55,0:0|0:1|0:7|0:8|0:9|1:0|1:7|1:8|1:9|2:0|2:7|2:8|2:9|3:0|3:1|3:2|3:7|3:8|3:9|4:2|4:3|4:6|4:7|5:0|5:1|5:2|5:5|5:6|5:7|5:8|5:9|6:0|6:1|6:2|6:4|6:8|6:9|7:0|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:0|8:4|8:5|8:7|8:8|8:9|9:5|9:7|9:8,360
intrinsic,intrinsic,333,102,434,0.8999099099099099,2.0,2.0,0.015698361966496103,2.0156983619664968,300,truncated,0,0,,1,55,44,0:0|0:1|0:2|0:5|0:6|0:7|1:2|1:5|1:7|1:8|2:2|2:3|2:4|2:5|2:7|2:8|2:9|3:5|3:7|3:8|3:9|4:4|4:5|4:6|4:7|5:4|5:5|5:6|5:7|5:9|6:7|6:8|6:9|7:5|7:6|7:7|7:8|7:9|8:7|8:8|8:9|9:7|9:8|9:9,360
intrinsic,intrinsic,333,103,435,0.898918918918919,3.0,3.0,0.01612850690050662,3.016128506900504,278,victory,1,0,,0,55,47,0:0|0:1|0:2|1:0|1:2|2:0|2:2|2:3|3:0|3:1|3:2|4:2|4:3|5:0|5:1|5:2|5:4|5:5|5:6|5:7|5:8|5:9|6:0|6:1|6:2|6:4|6:7|6:8|6:9|7:0|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:0|8:5|8:9|9:0|9:1|9:2|9:3|9:4|9:9,360
intrinsic,intrinsic,333,104,436,0.897927927927928,3.0,3.0,0.007557005799925733,3.0075570057999244,110,victory,1,0,,0,33,28,0:0|0:1|0:2|1:0|1:2|2:2|3:2|4:2|5:0|5:1|5:2|6:0|6:1|6:2|6:8|7:0|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:4|8:8|8:9|9:9,360
intrinsic,intrinsic,333,105,437,0.8969369369369369,3.0,3.0,0.012556677189399769,3.012556677189399,214,victory,1,0,,0,46,40,0:0|0:1|0:2|1:0|1:2|2:2|2:7|2:8|3:0|3:1|3:2|3:5|3:7|3:8|4:2|4:4|4:5|4:6|4:7|5:0|5:1|5:2|5:4|5:5|5:6|5:7|5:8|6:0|6:1|6:2|6:4|6:7|6:8|6:9|7:2|7:3|7:4|7:9|8:9|9:9,360
intrinsic,intrinsic,333,106,438,0.8959459459459459,2.0,2.0,0.016902156993028557,2.0169021569930266,300,truncated,0,0,,1,60,52,0:0|0:1|0:2|1:0|1:2|1:4|2:0|2:2|2:3|2:4|2:5|3:1|3:2|3:5|3:9|4:2|4:3|4:4|4:5|4:6|4:7|4:9|5:1|5:2|5:4|5:5|5:6|5:7|5:8|5:9|6:1|6:2|6:4|6:7|6:8|6:9|7:2|7:4|7:5|7:6|7:7|7:8|7:9|8:4|8:5|8:7|8:8|8:9|9:4|9:7|9:8|9:9,360
