episode,seed,epsilon,episode_reward,extrinsic_reward,intrinsic_reward,learning_reward,steps,status,victory,death,death_cause,truncated,unique_states,unique_positions,visited_positions,q_table_states
759,2487,0.24882882882882884,3.0,3.0,0.0031811554787871624,3.003181155478787,35,victory,1,0,,0,26,24,0:0|1:0|2:0|3:0|3:1|3:2|4:2|5:0|5:1|5:2|6:1|6:2|6:9|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:5|8:9|9:9,433
760,2488,0.24783783783783786,3.0,3.0,0.003238890505706125,3.003238890505706,36,victory,1,0,,0,26,22,0:0|1:0|2:0|3:0|3:1|3:2|4:2|5:0|5:1|5:2|6:1|6:2|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:9|9:9,433
761,2489,0.24684684684684688,3.0,3.0,0.002512132034355964,3.002512132034356,26,victory,1,0,,0,24,22,0:0|1:0|2:0|3:0|3:1|3:2|4:2|5:0|5:1|5:2|6:2|6:4|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:9|9:9,433
762,2490,0.2458558558558558,3.0,3.0,0.0032355524862241647,3.003235552486224,36,victory,1,0,,0,25,23,0:0|1:0|2:0|3:0|3:1|3:2|4:2|5:0|5:1|5:2|6:1|6:2|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:5|8:9|9:9,433
763,2491,0.2448648648648648,3.0,3.0,0.0030388905057061252,3.0030388905057057,34,victory,1,0,,0,24,22,0:0|1:0|2:0|3:0|3:1|3:2|4:2|5:0|5:1|5:2|6:1|6:2|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:9|9:9,433
764,2492,0.24387387387387394,3.0,3.0,0.002270710678118655,3.0022707106781183,23,victory,1,0,,0,23,21,0:0|1:0|2:0|3:0|3:1|3:2|4:2|5:0|5:1|5:2|6:2|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:9|9:9,433
765,2493,0.24288288288288296,3.0,3.0,0.0031949747468305824,3.0031949747468305,34,victory,1,0,,0,28,25,0:0|1:0|2:0|3:0|3:1|3:2|4:2|5:0|5:1|5:2|5:8|5:9|6:2|6:8|6:9|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:9|9:9,433
766,2494,0.24189189189189197,3.0,3.0,0.002824264068711928,3.002824264068712,30,victory,1,0,,0,25,23,0:0|1:0|2:0|3:0|3:1|3:2|4:2|5:0|5:1|5:2|6:1|6:2|6:4|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:9|9:9,433
767,2495,0.24090090090090088,3.0,3.0,0.002881999095630891,3.0028819990956306,31,victory,1,0,,0,25,23,0:0|1:0|2:0|3:0|3:1|3:2|4:2|5:0|5:1|5:2|6:2|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:7|8:9|9:7|9:9,433
768,2496,0.2399099099099099,3.0,3.0,0.0032018661569058176,3.003201866156905,36,victory,1,0,,0,25,23,0:0|1:0|2:0|2:2|3:0|3:1|3:2|4:2|5:0|5:1|5:2|6:1|6:2|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:9|9:9,433
769,2497,0.23891891891891892,3.0,3.0,0.002512132034355964,3.002512132034356,26,victory,1,0,,0,24,22,0:0|1:0|2:0|3:0|3:1|3:2|4:2|5:0|5:1|5:2|6:1|6:2|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:9|9:9,433
770,2498,0.23792792792792794,3.0,3.0,0.002370710678118655,3.002370710678119,24,victory,1,0,,0,24,22,0:0|1:0|2:0|3:0|3:1|3:2|4:2|5:0|5:1|5:2|6:2|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:8|8:9|9:9,433
771,2499,0.23693693693693696,3.0,3.0,0.0028656854249492375,3.0028656854249496,31,victory,1,0,,0,24,22,0:0|1:0|2:0|3:0|3:1|3:2|4:2|5:0|5:1|5:2|6:2|6:4|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:9|9:9,433
772,2500,0.23594594594594587,3.0,3.0,0.003052709773749545,3.0030527097737494,33,victory,1,0,,0,26,23,0:0|1:0|2:0|3:0|3:1|3:2|4:2|5:0|5:1|5:2|6:1|6:2|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:5|8:9|9:9,433
773,2501,0.234954954954955,3.0,3.0,0.002582842712474619,3.0025828427124743,27,victory,1,0,,0,24,22,0:0|1:0|2:0|3:0|3:1|3:2|4:2|4:3|5:0|5:1|5:2|6:2|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:9|9:9,433
774,2502,0.23396396396396402,3.0,3.0,0.0028767584713501604,3.0028767584713503,32,victory,1,0,,0,24,22,0:0|1:0|2:0|3:0|3:1|3:2|4:2|4:3|5:0|5:1|5:2|6:2|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:9|9:9,433
