episode,seed,epsilon,episode_reward,extrinsic_reward,intrinsic_reward,learning_reward,steps,status,victory,death,death_cause,truncated,unique_states,unique_positions,visited_positions,q_table_states
1,1729,1.0,1.0,1.0,0.0,1.0,200,truncated,0,0,,1,44,27,0:0|0:1|0:2|1:0|1:1|1:2|2:0|2:1|2:2|2:3|2:4|3:0|3:3|3:4|4:0|4:1|4:2|4:3|4:4|4:5|5:0|5:1|5:3|5:4|6:0|6:1|7:0,44
2,1730,0.9999009900990099,1.0,1.0,0.0,1.0,200,truncated,0,0,,1,30,23,0:0|0:1|0:2|1:0|1:1|1:2|1:4|2:0|2:1|2:2|2:3|2:4|3:0|3:3|3:4|4:0|4:1|4:2|4:3|5:0|5:1|6:0|6:1,55
3,1731,0.9998019801980198,1.0,1.0,0.0,1.0,200,truncated,0,0,,1,38,31,0:0|0:1|0:2|0:5|0:6|1:0|1:1|1:2|1:6|2:0|2:1|2:2|2:3|2:4|2:6|3:3|3:4|3:6|4:2|4:3|4:4|4:5|4:6|5:3|5:4|5:5|5:6|6:3|6:6|6:7|6:8,69
4,1732,0.9997029702970297,1.0,1.0,0.0,1.0,200,truncated,0,0,,1,40,34,0:0|0:1|0:2|1:0|1:1|1:2|2:0|2:1|2:2|2:3|3:0|4:0|4:1|4:2|4:3|5:3|5:4|5:5|5:6|6:3|6:5|6:6|6:7|7:2|7:3|7:5|8:2|8:3|8:4|8:5|9:3|9:4|9:5|9:6,88
5,1733,0.9996039603960396,1.0,1.0,0.0,1.0,200,truncated,0,0,,1,16,12,0:0|0:1|0:2|1:0|1:1|1:2|2:0|2:1|2:2|3:0|4:0|4:1,88
6,1734,0.9995049504950495,4.0,4.0,0.0,4.0,200,truncated,0,0,,1,68,50,0:0|0:1|0:8|0:9|1:0|1:7|1:8|1:9|2:0|2:1|2:2|2:3|2:6|2:7|2:8|2:9|3:0|3:3|3:8|3:9|4:0|4:1|4:3|4:4|4:5|4:8|4:9|5:3|5:4|5:5|5:6|5:8|5:9|6:5|6:6|6:7|6:8|6:9|7:8|7:9|8:5|8:6|8:7|8:8|8:9|9:5|9:6|9:7|9:8|9:9,134
7,1735,0.9994059405940594,1.0,1.0,0.0,1.0,200,truncated,0,0,,1,23,20,0:0|0:1|0:2|1:0|1:1|1:2|2:0|2:1|2:2|2:3|3:0|3:3|4:0|4:1|4:2|4:3|5:0|5:1|6:0|6:1,134
8,1736,0.9993069306930693,2.0,2.0,0.0,2.0,200,truncated,0,0,,1,37,28,0:0|0:1|0:2|1:0|1:1|1:2|2:0|2:1|2:2|3:0|4:0|4:1|5:0|6:0|6:1|6:3|7:0|7:1|7:2|7:3|8:0|8:1|8:2|8:3|9:0|9:1|9:2|9:3,151
9,1737,0.9992079207920792,1.0,1.0,0.0,1.0,200,truncated,0,0,,1,56,39,0:0|0:1|0:2|0:4|0:5|0:6|1:0|1:1|1:2|1:4|1:6|2:0|2:1|2:2|2:3|2:4|2:6|3:0|3:3|3:6|4:3|4:4|4:5|4:6|5:5|5:6|6:5|6:6|7:3|7:5|8:3|8:4|8:5|8:6|8:7|9:3|9:4|9:5|9:6,172
10,1738,0.9991089108910891,2.0,2.0,0.0,2.0,200,truncated,0,0,,1,74,44,0:0|0:1|0:2|1:0|1:1|1:2|2:0|2:1|2:2|2:3|2:4|3:0|3:3|3:4|4:0|4:1|4:2|4:3|4:4|4:5|4:6|5:0|5:1|5:3|5:4|5:5|5:6|6:0|6:1|6:3|6:5|6:6|7:0|7:1|7:2|7:3|8:0|8:1|8:2|8:3|9:0|9:1|9:2|9:3,215
11,1739,0.999009900990099,2.0,2.0,0.0,2.0,200,truncated,0,0,,1,59,35,0:0|0:1|0:2|1:0|1:1|1:2|2:0|2:1|2:2|2:3|2:4|3:0|3:3|3:4|4:0|4:1|4:2|4:3|4:4|5:0|5:1|6:0|6:1|7:0|7:1|7:2|7:3|8:0|8:1|8:2|8:3|9:0|9:1|9:2|9:3,224
12,1740,0.9989108910891089,2.0,2.0,0.0,2.0,200,truncated,0,0,,1,50,33,0:0|1:0|1:1|2:0|2:1|2:4|3:0|3:3|3:4|4:0|4:1|4:2|4:3|4:4|4:5|5:0|5:1|5:3|5:4|5:5|5:6|6:0|6:1|6:3|7:0|7:1|7:2|7:3|8:0|8:1|8:2|8:3|9:0,226
13,1741,0.9988118811881188,2.0,2.0,0.0,2.0,200,truncated,0,0,,1,35,25,0:0|0:1|0:2|0:4|0:5|0:6|0:7|0:8|0:9|1:0|1:1|1:2|1:4|1:6|1:7|1:8|1:9|2:0|2:1|2:2|2:3|2:4|2:8|2:9|3:0,243
14,1742,0.9987128712871287,2.0,2.0,0.0,2.0,200,truncated,0,0,,1,64,42,0:0|0:1|1:0|1:1|1:2|2:0|2:1|2:2|2:3|2:4|3:0|3:3|3:4|3:6|4:0|4:1|4:2|4:3|4:4|4:5|4:6|5:0|5:1|5:3|5:4|5:5|5:6|6:0|6:1|6:3|6:5|6:6|7:0|7:1|7:2|7:3|8:0|8:1|8:2|9:0|9:1|9:2,256
15,1743,0.9986138613861386,1.0,1.0,0.0,1.0,200,truncated,0,0,,1,28,21,0:0|0:1|0:2|0:4|1:0|1:1|1:2|1:4|2:0|2:1|2:2|2:3|2:4|3:0|3:3|3:4|4:3|4:4|5:3|5:4|6:3,256
16,1744,0.9985148514851485,2.0,2.0,0.0,2.0,200,truncated,0,0,,1,42,37,0:0|0:1|0:2|1:0|1:1|1:2|2:1|2:2|2:3|3:3|4:2|4:3|4:4|4:5|5:3|5:4|5:5|6:0|6:1|6:3|6:5|7:0|7:1|7:3|7:5|8:0|8:1|8:2|8:3|8:4|8:5|9:0|9:1|9:2|9:3|9:4|9:5,258
17,1745,0.9984158415841584,2.0,2.0,0.0,2.0,200,truncated,0,0,,1,47,38,0:0|0:1|0:2|0:4|0:5|0:6|0:7|0:8|0:9|1:0|1:1|1:2|1:4|1:6|1:7|1:8|1:9|2:0|2:1|2:2|2:3|2:4|2:6|2:7|2:8|2:9|3:0|3:3|3:6|4:0|4:1|4:2|4:3|5:0|5:1|6:0|6:1|7:0,264
18,1746,0.9983168316831683,1.0,1.0,0.0,1.0,200,truncated,0,0,,1,40,24,0:0|0:1|0:2|0:4|0:5|1:0|1:1|1:2|1:4|2:0|2:1|2:2|2:3|2:4|3:0|3:3|3:4|4:0|4:3|4:4|5:3|5:4|5:5|6:3,264
19,1747,0.9982178217821782,2.0,2.0,0.0,2.0,200,truncated,0,0,,1,58,40,0:0|0:1|0:2|1:0|1:1|1:2|1:4|2:0|2:1|2:2|2:3|2:4|3:0|3:3|3:4|4:0|4:1|4:4|5:0|5:1|6:0|6:1|7:0|7:1|8:0|8:1|8:2|8:3|8:4|8:5|8:6|8:7|9:0|9:1|9:2|9:3|9:4|9:5|9:6|9:7,272
20,1748,0.9981188118811881,2.0,2.0,0.0,2.0,200,truncated,0,0,,1,62,41,0:0|0:1|0:2|1:0|1:1|1:2|2:0|2:1|2:2|2:3|2:4|3:0|3:3|3:4|4:0|4:1|4:2|4:3|5:0|5:1|5:3|5:4|5:5|6:0|6:1|6:3|7:0|7:1|7:2|7:3|8:0|8:1|8:2|8:3|8:4|8:5|9:0|9:1|9:2|9:3|9:5,293
21,1749,0.998019801980198,3.0,3.0,0.0,3.0,200,truncated,0,0,,1,41,29,0:0|0:1|0:2|1:0|1:1|1:2|2:0|2:1|2:2|3:0|4:0|4:1|4:2|4:3|4:4|4:5|5:0|5:1|5:5|6:5|7:5|8:5|8:6|8:7|8:8|9:5|9:6|9:7|9:8,295
22,1750,0.9979207920792079,1.0,1.0,0.0,1.0,200,truncated,0,0,,1,33,24,0:0|0:1|0:2|1:0|1:1|1:2|2:0|2:1|2:2|2:3|2:4|3:0|3:3|3:4|4:0|4:1|4:2|4:3|4:4|5:0|6:0|7:0|8:0|9:0,298
23,1751,0.9978217821782178,1.0,1.0,0.0,1.0,200,truncated,0,0,,1,13,10,0:0|0:1|0:2|1:0|1:1|1:2|2:0|2:1|2:2|3:0,298
24,1752,0.9977227722772277,1.0,1.0,0.0,1.0,200,truncated,0,0,,1,67,54,0:0|1:0|1:9|2:0|2:6|2:7|2:8|2:9|3:0|3:6|3:8|3:9|4:0|4:4|4:5|4:6|4:8|4:9|5:0|5:3|5:4|5:5|5:6|5:8|5:9|6:0|6:5|6:6|6:7|6:8|6:9|7:0|7:2|7:3|7:5|7:8|8:0|8:1|8:2|8:3|8:4|8:5|8:6|8:7|8:8|8:9|9:0|9:1|9:2|9:3|9:4|9:5|9:8|9:9,358
25,1753,0.9976237623762376,1.0,1.0,0.0,1.0,200,truncated,0,0,,1,46,24,0:0|0:1|0:2|1:0|1:1|1:2|1:4|2:0|2:1|2:2|2:3|2:4|3:0|3:3|3:4|4:2|4:3|4:4|4:5|4:6|5:3|5:4|5:5|5:6,367
26,1754,0.9975247524752475,1.0,1.0,0.0,1.0,200,truncated,0,0,,1,18,13,0:0|0:1|0:2|1:0|1:1|1:2|2:0|2:1|2:2|2:3|3:0|3:3|4:0,367
27,1755,0.9974257425742574,1.0,1.0,0.0,1.0,200,truncated,0,0,,1,35,26,0:0|0:1|0:2|1:0|1:1|1:2|1:4|2:0|2:1|2:2|2:3|2:4|3:0|3:3|3:4|4:0|4:1|4:2|4:3|4:4|4:5|5:3|5:4|5:5|6:3|7:3,367
28,1756,0.9973267326732673,2.0,2.0,0.0,2.0,200,truncated,0,0,,1,59,42,0:0|1:0|1:1|2:0|2:1|2:2|2:3|3:0|3:3|4:0|4:1|4:2|4:3|4:4|4:5|4:6|5:0|5:1|5:3|5:4|5:5|5:6|6:0|6:1|6:5|6:6|7:0|7:1|7:2|7:3|7:5|8:0|8:1|8:2|8:3|8:4|8:5|9:0|9:1|9:2|9:3|9:5,371
