episode,seed,epsilon,episode_reward,extrinsic_reward,intrinsic_reward,learning_reward,steps,status,victory,death,death_cause,truncated,unique_states,unique_positions,visited_positions,q_table_states
1,3141,1.0,1.0,1.0,0.0,1.0,166,death,0,1,monster,0,35,30,0:0|0:1|0:3|1:0|1:1|1:3|2:0|2:1|2:2|2:3|3:0|3:3|4:0|4:1|4:2|5:0|5:1|5:2|5:3|6:0|6:1|7:0|7:1|8:0|8:1|9:0|9:1|9:2|9:3|9:4,34
2,3142,0.9998899877764196,1.0,1.0,0.0,1.0,279,death,0,1,monster,0,38,31,0:0|0:1|1:0|1:1|1:3|2:0|2:1|2:2|2:3|3:0|3:3|3:4|3:5|4:1|4:2|4:4|4:5|4:6|4:7|5:1|5:2|5:3|5:4|5:7|6:3|6:4|6:5|6:6|6:7|7:4|8:4,61
3,3143,0.9997799755528392,2.0,2.0,0.0,2.0,339,death,0,1,monster,0,79,59,0:0|0:1|0:3|0:4|0:5|0:6|0:7|0:8|0:9|1:0|1:1|1:3|1:6|1:7|1:8|1:9|2:0|2:1|2:2|2:3|2:5|2:6|2:7|2:8|2:9|3:0|3:4|3:5|3:7|3:8|3:9|4:6|4:7|4:9|5:2|5:3|5:7|5:8|5:9|6:3|6:4|6:5|6:6|6:7|6:8|6:9|7:6|7:7|7:8|7:9|8:6|8:7|8:8|8:9|9:5|9:6|9:7|9:8|9:9,128
4,3144,0.9996699633292588,0.0,0.0,0.0,0.0,37,death,0,1,monster,0,19,10,0:0|1:0|2:0|2:1|3:0|4:0|4:1|4:2|5:1|5:2,135
5,3145,0.9995599511056784,0.0,0.0,0.0,0.0,43,death,0,1,monster,0,7,7,0:0|0:1|1:0|1:1|2:0|2:1|3:0,135
6,3146,0.999449938882098,0.0,0.0,0.0,0.0,122,death,0,1,monster,0,30,25,0:0|0:1|1:0|1:1|2:0|2:1|2:2|2:3|3:0|3:3|3:4|3:5|4:0|4:1|4:2|4:4|5:1|5:2|5:3|5:4|6:1|6:3|6:4|6:5|7:1,144
7,3147,0.9993399266585176,0.0,0.0,0.0,0.0,12,death,0,1,monster,0,7,7,0:0|1:0|2:0|3:0|4:0|5:0|5:1,146
8,3148,0.9992299144349372,1.0,1.0,0.0,1.0,133,death,0,1,monster,0,40,29,0:0|0:1|1:0|1:1|2:0|2:1|2:2|2:3|2:5|3:3|3:4|3:5|4:1|4:4|4:5|5:1|5:2|5:3|5:4|6:0|6:1|6:3|6:4|7:0|7:1|8:0|8:1|8:2|9:2,158
9,3149,0.9991199022113568,0.0,0.0,0.0,0.0,49,death,0,1,monster,0,14,6,0:0|0:1|1:0|1:1|2:0|2:1,165
10,3150,0.9990098899877764,0.0,0.0,0.0,0.0,106,death,0,1,monster,0,28,26,0:0|0:1|0:3|0:4|0:5|1:0|1:1|1:3|2:0|2:1|2:2|2:3|3:0|3:3|3:4|4:0|4:1|4:2|5:0|5:1|6:1|7:1|8:1|9:1|9:2|9:3,171
11,3151,0.998899877764196,0.0,0.0,0.0,0.0,27,death,0,1,monster,0,13,11,0:0|0:1|1:0|1:1|2:0|2:1|2:2|2:3|3:3|3:4|4:4,174
12,3152,0.9987898655406157,0.0,0.0,0.0,0.0,10,death,0,1,monster,0,5,4,0:0|1:0|2:0|3:0,175
13,3153,0.9986798533170352,0.0,0.0,0.0,0.0,94,death,0,1,monster,0,18,14,0:0|0:1|1:0|1:1|2:0|2:1|3:0|4:0|4:1|5:0|5:1|5:2|6:0|6:1,178
14,3154,0.9985698410934548,0.0,0.0,0.0,0.0,30,death,0,1,monster,0,12,9,0:0|1:0|1:1|2:0|2:1|3:0|4:0|4:1|4:2,180
15,3155,0.9984598288698744,1.0,1.0,0.0,1.0,366,death,0,1,monster,0,40,28,0:0|0:1|0:3|0:4|0:5|0:6|0:7|1:0|1:1|1:3|2:0|2:1|2:2|2:3|3:0|3:3|3:4|3:5|4:0|4:1|4:2|4:4|5:0|5:1|5:2|5:3|5:4|6:3,188
16,3156,0.9983498166462941,1.0,1.0,0.0,1.0,396,death,0,1,monster,0,56,35,0:0|0:1|1:0|1:1|2:0|2:1|3:0|4:0|4:1|4:2|4:4|5:0|5:1|5:2|5:3|5:4|6:0|6:1|6:3|6:4|7:0|7:1|7:4|8:0|8:1|8:2|8:3|8:4|9:0|9:1|9:2|9:3|9:4|9:5|9:6,218
17,3157,0.9982398044227137,1.0,1.0,0.0,1.0,310,death,0,1,monster,0,41,28,0:0|0:1|0:3|0:4|0:5|0:6|0:7|0:8|0:9|1:0|1:1|1:3|1:6|1:7|1:8|1:9|2:0|2:1|2:2|2:3|2:5|2:6|2:7|2:8|2:9|3:7|3:9|4:7,227
18,3158,0.9981297921991332,1.0,1.0,0.0,1.0,147,death,0,1,monster,0,37,28,0:0|0:3|0:4|0:5|0:6|0:7|0:8|1:0|1:1|1:3|1:6|1:7|1:8|1:9|2:0|2:1|2:2|2:3|2:5|2:6|2:7|2:8|3:0|3:3|3:4|3:5|3:7|3:8,239
19,3159,0.9980197799755528,0.0,0.0,0.0,0.0,32,death,0,1,monster,0,12,7,0:0|0:1|1:0|1:1|2:0|2:1|3:0,241
20,3160,0.9979097677519725,0.0,0.0,0.0,0.0,18,death,0,1,monster,0,8,6,0:0|0:1|1:0|1:1|2:0|2:1,243
21,3161,0.9977997555283921,1.0,1.0,0.0,1.0,243,death,0,1,monster,0,42,21,0:0|0:1|1:0|1:1|2:0|2:1|2:2|2:3|3:0|4:0|5:0|5:1|6:0|6:1|7:0|7:1|8:0|8:1|8:2|9:0|9:1,258
22,3162,0.9976897433048116,0.0,0.0,0.0,0.0,105,death,0,1,monster,0,26,17,0:0|0:1|0:3|1:0|1:1|1:3|2:0|2:1|2:2|2:3|2:5|2:6|3:3|3:4|3:5|4:4|4:5,263
23,3163,0.9975797310812312,2.0,2.0,0.0,2.0,400,truncated,0,0,,1,83,55,0:0|0:1|1:0|1:1|2:0|2:1|2:2|2:3|3:0|4:0|4:2|4:4|4:5|4:7|4:9|5:0|5:1|5:2|5:3|5:4|5:7|5:8|5:9|6:3|6:4|6:5|6:7|6:8|6:9|7:0|7:1|7:4|7:6|7:7|7:8|7:9|8:0|8:1|8:2|8:3|8:4|8:6|8:7|8:8|8:9|9:0|9:1|9:2|9:3|9:4|9:5|9:6|9:7|9:8|9:9,306
24,3164,0.9974697188576509,1.0,1.0,0.0,1.0,173,death,0,1,monster,0,43,30,0:0|0:1|1:0|1:1|2:0|2:1|3:0|4:0|4:1|4:2|5:0|5:1|5:2|5:3|5:4|6:0|6:1|6:3|6:4|7:1|7:4|8:0|8:1|8:2|8:3|8:4|9:0|9:1|9:3|9:4,314
25,3165,0.9973597066340705,0.0,0.0,0.0,0.0,212,death,0,1,monster,0,45,36,0:0|0:1|1:0|1:1|2:0|2:1|2:2|2:5|2:6|2:7|3:0|3:4|3:5|3:7|4:0|4:1|4:2|4:4|4:5|4:6|4:7|5:0|5:1|5:2|5:3|5:4|6:0|6:1|6:3|6:4|6:5|6:6|7:0|7:1|7:4|8:1,323
26,3166,0.99724969441049,0.0,0.0,0.0,0.0,24,death,0,1,monster,0,13,11,0:0|0:1|1:1|2:0|2:1|2:2|3:0|4:0|5:0|5:1|6:0,325
27,3167,0.9971396821869096,0.0,0.0,0.0,0.0,55,death,0,1,monster,0,20,15,0:0|0:1|1:0|1:1|2:0|2:1|2:2|2:3|3:0|3:3|3:4|3:5|4:4|4:5|5:4,327
28,3168,0.9970296699633293,0.0,0.0,0.0,0.0,91,death,0,1,monster,0,29,24,0:0|1:0|1:1|2:0|2:1|2:2|2:3|3:0|3:3|3:4|3:5|4:0|4:1|4:2|4:4|4:5|4:6|5:0|5:1|5:2|5:3|5:4|6:3|6:4,330
29,3169,0.9969196577397489,1.0,1.0,0.0,1.0,117,death,0,1,monster,0,40,33,0:0|0:1|1:0|1:1|2:0|2:1|2:2|2:3|2:5|2:6|3:0|3:3|3:4|3:5|3:9|4:0|4:1|4:4|4:5|4:6|4:9|5:4|5:7|5:8|5:9|6:3|6:4|6:5|6:6|6:7|7:6|7:7|8:6,338
30,3170,0.9968096455161685,0.0,0.0,0.0,0.0,43,death,0,1,monster,0,10,6,0:0|0:1|1:0|1:1|2:0|2:1,338
31,3171,0.996699633292588,0.0,0.0,0.0,0.0,21,death,0,1,monster,0,8,5,0:0|0:1|1:0|1:1|2:1,338
32,3172,0.9965896210690076,0.0,0.0,0.0,0.0,210,death,0,1,monster,0,44,43,0:0|0:1|0:3|0:4|0:5|0:6|1:0|1:1|1:3|1:6|2:0|2:1|2:2|2:3|2:5|2:6|3:0|3:3|3:4|3:5|4:0|4:1|4:2|4:4|4:5|4:6|5:0|5:1|5:2|5:3|6:0|6:1|6:3|6:4|6:5|6:6|7:0|7:1|7:6|7:7|7:8|8:1|9:1,339
33,3173,0.9964796088454273,0.0,0.0,0.0,0.0,37,death,0,1,monster,0,12,9,0:0|0:1|1:0|1:1|2:0|3:0|4:0|4:1|5:0,340
34,3174,0.9963695966218469,0.0,0.0,0.0,0.0,20,death,0,1,monster,0,10,6,0:0|1:0|2:0|3:0|4:0|5:0,341
35,3175,0.9962595843982665,1.0,1.0,0.0,1.0,68,death,0,1,monster,0,15,15,0:0|0:1|0:3|0:4|0:5|0:6|0:7|1:0|1:1|1:3|2:0|2:1|2:2|2:3|3:3,342
36,3176,0.996149572174686,0.0,0.0,0.0,0.0,112,death,0,1,monster,0,17,13,0:0|0:1|1:0|1:1|2:0|2:1|2:2|2:3|3:0|4:0|4:1|5:0|5:1,343
37,3177,0.9960395599511057,0.0,0.0,0.0,0.0,48,death,0,1,monster,0,28,22,0:0|0:1|0:9|1:0|1:1|1:7|1:8|1:9|2:1|2:2|2:3|2:5|2:6|2:7|2:8|3:3|3:4|3:5|3:7|3:8|4:4|4:5,351
38,3178,0.9959295477275253,0.0,0.0,0.0,0.0,18,death,0,1,monster,0,8,7,0:0|0:1|1:0|1:1|2:0|2:1|2:2,351
39,3179,0.9958195355039449,2.0,2.0,0.0,2.0,258,death,0,1,monster,0,62,49,0:0|0:1|1:0|1:1|1:6|1:7|1:8|1:9|2:0|2:1|2:2|2:3|2:5|2:6|2:7|2:8|2:9|3:0|3:5|3:7|3:8|3:9|4:0|4:1|4:7|5:0|5:1|5:7|6:0|6:1|6:7|7:0|7:1|7:7|8:0|8:1|8:2|8:3|8:4|8:6|8:7|9:0|9:1|9:2|9:3|9:4|9:5|9:6|9:7,368
40,3180,0.9957095232803644,0.0,0.0,0.0,0.0,62,death,0,1,monster,0,20,16,0:0|0:1|1:0|1:1|1:3|2:1|2:2|2:3|2:5|2:6|2:7|3:3|3:4|3:5|3:7|3:8,372
41,3181,0.9955995110567841,0.0,0.0,0.0,0.0,28,death,0,1,monster,0,10,6,0:0|0:1|1:0|1:1|2:0|2:1,373
42,3182,0.9954894988332037,0.0,0.0,0.0,0.0,112,death,0,1,monster,0,21,20,0:0|0:1|0:3|0:4|0:6|1:0|1:1|1:3|1:6|2:0|2:1|2:2|2:3|2:5|2:6|3:0|3:3|3:4|3:5|4:4,375
43,3183,0.9953794866096233,0.0,0.0,0.0,0.0,123,death,0,1,monster,0,26,19,0:0|0:1|1:0|1:1|1:3|2:0|2:1|2:2|2:3|3:0|3:3|3:4|3:5|3:7|4:4|4:5|4:6|4:7|5:4,379
44,3184,0.9952694743860429,0.0,0.0,0.0,0.0,97,death,0,1,monster,0,24,19,0:0|0:1|1:0|1:1|2:0|2:1|3:0|4:0|4:1|4:2|5:0|5:1|5:2|6:0|6:1|7:1|8:1|9:0|9:1,384
45,3185,0.9951594621624625,1.0,1.0,0.0,1.0,168,death,0,1,monster,0,48,32,0:0|0:1|0:3|0:4|0:5|0:6|0:7|0:8|0:9|1:0|1:3|1:6|1:7|1:8|1:9|2:0|2:1|2:2|2:3|2:5|2:6|2:8|2:9|3:3|3:4|3:5|3:7|4:4|4:5|4:6|4:7|5:7,397
46,3186,0.9950494499388821,0.0,0.0,0.0,0.0,24,death,0,1,monster,0,12,10,0:0|1:0|2:0|2:1|2:2|3:0|4:0|5:0|5:1|6:1,398
47,3187,0.9949394377153017,0.0,0.0,0.0,0.0,19,death,0,1,monster,0,9,8,0:0|0:1|1:0|1:1|2:0|2:1|3:0|4:0,398
48,3188,0.9948294254917213,1.0,1.0,0.0,1.0,176,death,0,1,monster,0,28,20,0:0|0:1|0:3|1:0|1:1|1:3|2:0|2:1|2:2|2:3|3:0|3:3|3:4|4:0|5:0|6:0|6:1|7:0|8:0|8:1,402
49,3189,0.994719413268141,1.0,1.0,0.0,1.0,197,death,0,1,monster,0,33,23,0:0|0:1|0:3|0:4|0:5|1:0|1:1|1:3|2:0|2:1|2:2|2:3|3:0|3:3|4:0|4:1|4:2|5:0|5:1|6:1|7:0|7:1|8:0,408
50,3190,0.9946094010445605,0.0,0.0,0.0,0.0,79,death,0,1,monster,0,15,13,0:0|0:1|0:3|0:4|0:5|0:6|1:0|1:1|1:3|2:0|2:1|2:2|2:3,410
51,3191,0.9944993888209801,0.0,0.0,0.0,0.0,19,death,0,1,monster,0,10,7,0:0|0:1|1:0|1:1|2:0|2:1|3:0,410
52,3192,0.9943893765973997,0.0,0.0,0.0,0.0,149,death,0,1,monster,0,24,19,0:0|0:1|0:3|0:4|1:0|1:1|1:3|2:0|2:1|2:2|2:3|3:0|4:0|4:1|4:2|5:0|5:1|6:0|6:1,416
53,3193,0.9942793643738194,0.0,0.0,0.0,0.0,7,death,0,1,monster,0,8,8,0:0|0:3|1:0|1:1|1:3|2:1|2:2|2:3,416
54,3194,0.9941693521502389,0.0,0.0,0.0,0.0,186,death,0,1,monster,0,20,15,0:0|0:1|0:3|1:0|1:1|1:3|2:0|2:1|2:2|2:3|3:0|3:3|3:4|4:4|5:4,416
55,3195,0.9940593399266585,0.0,0.0,0.0,0.0,400,truncated,0,0,,1,18,13,0:0|0:1|0:3|1:0|1:1|1:3|2:0|2:1|2:2|2:3|3:0|3:3|3:4,416
