episode,seed,epsilon,episode_reward,extrinsic_reward,intrinsic_reward,learning_reward,steps,status,victory,death,death_cause,truncated,unique_states,unique_positions,visited_positions,q_table_states
3952,10062,0.7405337022468165,3.0,3.0,0.0,3.0,110,victory,1,0,,0,47,39,0:0|0:1|0:2|0:7|0:8|0:9|1:2|1:9|2:2|2:3|2:4|2:9|3:1|3:2|3:4|3:9|4:2|4:3|4:4|4:9|5:1|5:2|5:9|6:1|6:2|6:3|6:9|7:3|7:8|7:9|8:3|8:4|8:5|8:7|8:8|8:9|9:5|9:6|9:7,2969
3953,10063,0.7404680312020802,2.0,2.0,0.0,2.0,131,death,0,1,monster,0,49,44,0:0|0:1|0:2|1:0|1:2|1:9|2:0|2:2|2:9|3:2|3:8|3:9|4:2|4:4|4:5|4:8|4:9|5:2|5:4|5:8|5:9|6:1|6:2|6:3|6:4|6:8|6:9|7:3|7:8|7:9|8:1|8:2|8:3|8:4|8:5|8:8|8:9|9:1|9:2|9:3|9:5|9:6|9:7|9:8,2969
3954,10064,0.7404023601573438,2.0,2.0,0.0,2.0,84,death,0,1,monster,0,38,30,0:0|1:0|2:0|3:0|3:1|3:2|4:2|4:9|5:1|5:2|5:9|6:1|6:2|6:3|6:4|6:9|7:3|7:9|8:3|8:4|8:5|8:7|8:8|8:9|9:3|9:4|9:5|9:6|9:7|9:8,2969
3955,10065,0.7403366891126075,1.0,1.0,0.0,1.0,48,death,0,1,monster,0,18,17,0:0|1:0|2:0|3:0|3:1|3:2|4:2|4:3|4:4|5:2|5:4|6:0|6:1|6:2|6:3|6:4|7:3,2969
3956,10066,0.7402710180678712,1.0,1.0,0.0,1.0,120,death,0,1,monster,0,37,31,0:0|0:1|0:2|1:0|1:2|2:0|2:2|3:0|3:1|3:2|4:2|5:1|5:2|5:4|6:1|6:2|6:3|6:4|6:6|7:3|7:5|7:6|8:3|8:4|8:5|8:7|9:4|9:5|9:6|9:7|9:8,2969
3957,10067,0.7402053470231349,0.0,0.0,0.0,0.0,13,death,0,1,monster,0,9,7,0:0|0:1|0:2|1:2|2:2|3:2|4:2,2969
3958,10068,0.7401396759783985,2.0,2.0,0.0,2.0,143,death,0,1,monster,0,39,38,0:0|1:0|2:0|3:0|3:1|3:2|4:2|4:3|4:4|4:7|4:8|5:4|5:8|6:0|6:1|6:2|6:3|6:4|6:8|6:9|7:0|7:3|7:8|7:9|8:0|8:1|8:3|8:4|8:5|8:7|8:8|9:0|9:1|9:2|9:3|9:5|9:6|9:7,2969
3959,10069,0.7400740049336623,3.0,3.0,0.0,3.0,133,victory,1,0,,0,53,45,0:0|0:7|0:8|0:9|1:0|1:9|2:0|2:9|3:0|3:1|3:2|3:8|3:9|4:2|4:8|4:9|5:0|5:1|5:2|5:9|6:0|6:1|6:2|6:3|6:4|6:9|7:0|7:3|7:8|7:9|8:0|8:1|8:2|8:3|8:4|8:5|8:7|8:8|9:1|9:2|9:3|9:4|9:5|9:6|9:7,2969
3960,10070,0.7400083338889258,2.0,2.0,0.0,2.0,243,death,0,1,monster,0,58,40,0:0|1:0|2:0|2:2|3:0|3:1|3:2|4:2|5:0|5:1|5:2|6:0|6:1|6:2|6:3|6:4|7:0|7:3|7:5|7:8|7:9|8:0|8:1|8:2|8:3|8:4|8:5|8:7|8:8|8:9|9:0|9:1|9:2|9:3|9:4|9:5|9:6|9:7|9:8|9:9,2969
3961,10071,0.7399426628441896,3.0,3.0,0.0,3.0,138,victory,1,0,,0,43,41,0:0|0:7|0:8|0:9|1:0|1:8|1:9|2:0|2:2|2:3|2:9|3:0|3:1|3:2|3:8|3:9|4:2|4:9|5:0|5:1|5:2|5:9|6:0|6:1|6:2|6:3|6:9|7:3|7:5|7:8|7:9|8:3|8:4|8:5|8:7|8:8|9:3|9:4|9:5|9:6|9:7,2969
3962,10072,0.7398769917994532,3.0,3.0,0.0,3.0,88,victory,1,0,,0,41,39,0:0|0:7|0:8|1:0|1:8|1:9|2:0|2:2|2:8|2:9|3:0|3:1|3:2|3:8|3:9|4:2|4:8|5:1|5:2|5:8|6:0|6:1|6:2|6:3|6:8|6:9|7:3|7:8|8:3|8:4|8:7|8:8|9:2|9:3|9:4|9:5|9:6|9:7|9:8,2969
3963,10073,0.739811320754717,3.0,3.0,0.0,3.0,58,victory,1,0,,0,39,38,0:0|0:7|0:8|0:9|1:0|1:8|1:9|2:0|2:2|2:9|3:0|3:1|3:2|3:8|3:9|4:2|4:8|4:9|5:1|5:2|5:9|6:1|6:2|6:3|6:4|6:9|7:3|7:9|8:3|8:4|8:8|8:9|9:4|9:5|9:6|9:7|9:8|9:9,2969
3964,10074,0.7397456497099806,1.0,1.0,0.0,1.0,65,death,0,1,monster,0,28,27,0:0|0:4|0:5|0:6|0:7|1:0|1:4|1:6|1:7|1:8|1:9|2:0|2:4|2:8|3:0|3:1|3:2|3:4|3:8|4:2|4:3|4:4|4:8|4:9|5:2|5:8|5:9,2970
