episode,seed,epsilon,episode_reward,extrinsic_reward,intrinsic_reward,learning_reward,steps,status,victory,death,death_cause,truncated,unique_states,unique_positions,visited_positions,q_table_states
14,1742,0.9871171171171171,1.0,1.0,0.0,1.0,200,truncated,0,0,,1,53,39,0:0|0:1|0:2|1:0|1:1|2:0|2:1|3:0|3:1|3:2|3:3|4:0|4:1|4:2|4:3|4:4|5:0|5:1|5:2|5:3|5:4|6:0|6:1|6:2|6:3|6:4|7:0|7:1|7:2|7:3|7:4|8:0|8:1|8:2|8:3|8:4|9:0|9:1|9:2,406
15,1743,0.9861261261261262,1.0,1.0,0.0,1.0,200,truncated,0,0,,1,63,49,0:0|0:1|0:2|0:3|1:0|1:1|1:3|2:3|3:2|3:3|3:4|3:5|4:1|4:2|4:3|4:4|4:5|5:0|5:1|5:2|5:3|5:4|6:0|6:1|6:2|6:3|6:4|6:5|6:6|7:0|7:1|7:2|7:3|7:4|7:5|7:6|7:7|8:1|8:2|8:4|8:5|8:6|9:1|9:2|9:5|9:6|9:7|9:8|9:9,423
16,1744,0.9851351351351352,1.0,1.0,0.0,1.0,200,truncated,0,0,,1,38,34,0:0|0:1|0:2|1:0|1:1|2:0|2:1|3:1|4:1|4:2|4:3|5:0|5:1|5:2|5:3|5:4|6:0|6:1|6:2|6:3|6:4|7:0|7:1|7:2|7:3|7:4|8:0|8:1|8:2|8:3|8:4|9:0|9:1|9:2,424
17,1745,0.9841441441441442,1.0,1.0,0.0,1.0,200,truncated,0,0,,1,57,51,0:0|0:1|0:2|0:3|0:4|0:5|0:6|0:7|0:8|0:9|1:0|1:1|1:3|1:5|1:7|1:8|1:9|2:0|2:1|2:5|2:8|2:9|3:0|3:1|3:2|3:3|3:5|3:8|3:9|4:0|4:1|4:2|4:3|4:4|4:5|5:0|5:1|5:2|6:0|6:1|6:2|6:3|6:4|7:1|7:2|7:3|7:4|8:3|8:4|9:3|9:4,438
18,1746,0.9831531531531531,2.0,2.0,0.0,2.0,200,truncated,0,0,,1,45,32,0:0|0:1|0:2|0:3|0:4|0:5|1:0|1:1|1:3|1:4|1:5|2:0|2:1|2:3|2:4|2:5|3:0|3:1|3:2|3:3|3:4|3:5|4:0|4:1|4:2|4:3|5:0|5:1|5:2|6:0|6:1|6:2,441
19,1747,0.9821621621621621,2.0,2.0,0.0,2.0,200,truncated,0,0,,1,79,60,0:0|0:1|0:2|0:4|0:5|1:1|1:3|1:4|1:5|2:0|2:1|2:3|2:4|2:5|3:0|3:1|3:2|3:3|4:0|4:1|4:2|4:3|4:4|4:5|5:0|5:1|5:2|5:3|5:5|5:6|6:0|6:1|6:2|6:3|6:4|6:5|6:6|7:0|7:1|7:2|7:3|7:4|7:5|7:6|7:7|8:0|8:1|8:2|8:3|8:4|8:5|8:6|8:7|9:0|9:1|9:2|9:3|9:4|9:5|9:6,461
20,1748,0.9811711711711711,1.0,1.0,0.0,1.0,200,truncated,0,0,,1,34,27,0:0|0:1|0:2|0:3|0:4|0:5|0:6|1:0|1:1|1:3|1:4|1:5|1:6|2:0|2:1|2:3|2:4|2:5|2:6|3:0|3:1|3:3|3:4|3:5|3:6|4:5|5:5,461
21,1749,0.9801801801801802,1.0,1.0,0.0,1.0,200,truncated,0,0,,1,78,58,0:0|0:1|0:2|0:3|0:4|0:5|0:6|1:0|1:1|1:3|1:4|1:5|1:6|2:0|2:1|2:3|2:4|2:5|2:6|3:0|3:1|3:2|3:3|3:4|3:5|3:6|4:0|4:1|4:2|4:3|4:4|5:0|5:1|5:2|5:3|5:4|5:5|5:6|6:3|6:4|6:5|6:6|7:3|7:4|7:5|7:6|7:7|8:3|8:4|8:5|8:6|8:7|9:3|9:4|9:5|9:6|9:7|9:8,501
22,1750,0.9791891891891892,1.0,1.0,0.0,1.0,200,truncated,0,0,,1,53,49,0:0|0:1|0:2|0:3|0:4|0:5|0:6|0:7|0:8|0:9|1:0|1:1|1:3|1:4|1:5|1:6|1:7|1:8|1:9|2:0|2:1|2:4|2:5|2:6|2:7|3:0|3:1|3:2|3:3|3:4|3:5|3:6|4:0|4:1|4:2|4:3|4:4|4:5|4:6|5:1|5:4|5:6|6:3|6:4|6:5|6:6|7:4|7:5|7:6,503
23,1751,0.9781981981981982,0.0,0.0,0.0,0.0,200,truncated,0,0,,1,34,34,0:0|0:1|0:2|1:0|1:1|2:0|2:1|3:0|3:1|3:2|4:0|4:1|4:2|4:3|4:5|5:0|5:1|5:3|5:4|5:5|5:6|6:0|6:3|6:4|6:5|6:6|7:0|7:1|7:2|7:3|7:4|7:5|7:6|8:4,512
24,1752,0.9772072072072072,2.0,2.0,0.0,2.0,200,truncated,0,0,,1,88,53,0:0|0:1|1:0|1:1|1:3|1:4|1:5|2:0|2:1|2:3|2:4|2:5|3:0|3:1|3:2|3:3|3:4|3:5|4:0|4:1|4:2|4:3|4:4|4:5|5:1|5:2|5:3|5:4|5:5|6:1|6:2|6:3|6:4|6:5|6:6|7:1|7:2|7:3|7:4|7:5|8:0|8:1|8:2|8:3|8:4|8:5|8:6|9:0|9:1|9:2|9:3|9:4|9:5,527
25,1753,0.9762162162162162,2.0,2.0,0.0,2.0,200,truncated,0,0,,1,64,40,0:0|0:1|0:2|0:3|0:4|1:0|1:1|1:3|1:4|1:5|2:0|2:1|2:3|2:4|2:5|3:0|3:1|3:2|3:3|3:4|4:0|4:1|4:2|4:3|4:4|5:0|5:1|5:2|5:3|5:4|6:0|6:1|6:2|6:3|6:4|6:5|7:0|7:1|7:2|8:1,534
26,1754,0.9752252252252253,4.0,4.0,0.0,4.0,199,victory,1,0,,0,60,54,0:0|0:1|0:3|0:4|0:5|0:6|0:7|0:8|0:9|1:0|1:1|1:3|1:4|1:5|1:6|1:7|1:8|2:0|2:1|2:3|2:4|2:5|2:6|2:7|2:8|3:0|3:1|3:2|3:3|3:4|3:6|3:7|3:8|3:9|4:3|4:4|4:5|4:6|5:3|5:4|5:5|5:6|6:2|6:3|6:4|6:6|7:3|7:4|7:7|8:4|8:5|8:6|8:7|8:8,538
27,1755,0.9742342342342343,0.0,0.0,0.0,0.0,200,truncated,0,0,,1,39,39,0:0|0:1|0:2|0:3|0:4|0:5|0:6|0:7|0:8|1:0|1:1|1:3|1:4|1:5|1:6|1:7|1:8|1:9|2:1|2:7|2:8|2:9|3:8|3:9|4:6|4:7|4:8|4:9|5:8|5:9|6:8|6:9|7:7|7:8|7:9|8:7|8:8|8:9|9:9,543
28,1756,0.9732432432432433,2.0,2.0,0.0,2.0,200,truncated,0,0,,1,85,58,0:0|0:1|0:2|0:3|0:4|0:5|1:3|1:4|1:5|1:6|1:7|2:3|2:4|2:5|2:7|3:0|3:1|3:2|3:3|3:4|3:5|3:6|3:7|4:0|4:1|4:2|4:3|4:4|4:5|4:6|4:7|5:1|5:2|5:3|5:5|5:6|6:1|6:2|6:3|6:4|6:5|6:6|7:1|7:2|7:3|7:4|7:5|7:6|8:1|8:2|8:3|8:4|8:5|8:6|9:2|9:3|9:4|9:6,546
29,1757,0.9722522522522522,1.0,1.0,0.0,1.0,200,truncated,0,0,,1,50,48,0:0|0:1|0:4|0:5|0:6|0:8|0:9|1:0|1:1|1:3|1:4|1:5|1:6|1:7|1:8|1:9|2:0|2:1|2:3|2:4|2:5|2:6|2:7|2:8|2:9|3:0|3:1|3:2|3:3|3:4|3:5|3:7|3:8|3:9|4:0|4:1|4:7|4:8|4:9|5:0|5:1|5:8|5:9|6:0|6:1|6:8|6:9|7:0,547
30,1758,0.9712612612612612,2.0,2.0,0.0,2.0,200,truncated,0,0,,1,69,61,0:0|0:1|0:2|0:3|0:5|0:6|0:7|0:8|1:3|1:4|1:5|1:6|1:7|1:8|1:9|2:3|2:4|2:5|2:6|2:7|2:8|2:9|3:6|3:7|3:8|3:9|4:8|4:9|5:8|5:9|6:2|6:3|6:4|6:5|6:6|6:8|6:9|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:0|8:1|8:2|8:3|8:4|8:5|8:6|8:7|8:8|8:9|9:0|9:1|9:2|9:3|9:4|9:8|9:9,565
31,1759,0.9702702702702702,2.0,2.0,0.0,2.0,200,truncated,0,0,,1,84,51,0:0|0:1|1:0|1:1|2:0|2:1|2:3|2:4|2:5|3:0|3:1|3:2|3:3|3:4|3:5|4:0|4:1|4:2|4:3|4:4|4:5|5:0|5:1|5:2|5:3|5:4|5:5|6:0|6:2|6:4|7:0|7:2|7:3|7:4|7:5|8:0|8:1|8:2|8:3|8:4|8:5|8:6|8:7|9:0|9:1|9:2|9:3|9:4|9:5|9:6|9:7,567
32,1760,0.9692792792792793,4.0,4.0,0.0,4.0,178,victory,1,0,,0,73,62,0:0|0:1|0:2|0:3|0:4|0:5|0:6|0:7|0:8|0:9|1:1|1:3|1:4|1:5|1:6|1:7|1:8|1:9|2:1|2:3|2:4|2:5|2:6|3:1|3:3|3:4|3:5|3:6|4:1|4:2|4:3|4:4|4:5|4:6|5:1|5:3|5:4|5:5|5:6|6:2|6:6|6:8|6:9|7:2|7:4|7:5|7:6|7:7|7:8|7:9|8:2|8:3|8:4|8:5|8:6|8:7|8:8|9:2|9:3|9:4|9:5|9:6,579
33,1761,0.9682882882882883,4.0,4.0,0.0,4.0,134,victory,1,0,,0,66,62,0:0|1:0|1:4|1:5|1:6|1:7|1:8|2:0|2:1|2:4|2:6|2:7|2:8|2:9|3:1|3:4|3:6|3:7|3:8|3:9|4:0|4:1|4:4|4:5|4:6|4:7|4:8|4:9|5:1|5:2|5:3|5:4|6:0|6:1|6:2|6:3|6:4|6:5|6:6|7:0|7:1|7:2|7:3|7:4|7:5|7:6|8:0|8:1|8:2|8:4|8:5|8:6|8:8|8:9|9:0|9:1|9:2|9:5|9:6|9:7|9:8|9:9,582
34,1762,0.9672972972972973,2.0,2.0,0.0,2.0,200,truncated,0,0,,1,79,52,0:0|0:1|0:2|0:3|0:4|0:5|1:0|1:1|1:3|1:4|1:5|1:6|2:0|2:1|2:3|2:4|2:5|2:6|3:0|3:1|3:2|3:3|3:4|3:5|4:0|4:1|4:2|4:3|4:4|4:5|5:1|5:2|5:3|5:4|5:5|6:1|6:2|6:3|6:5|7:1|7:2|7:3|7:4|7:5|8:1|8:2|8:3|8:4|9:1|9:2|9:3|9:4,582
35,1763,0.9663063063063063,1.0,1.0,0.0,1.0,200,truncated,0,0,,1,41,38,0:0|0:1|0:2|0:3|0:4|0:5|0:6|1:0|1:1|1:4|1:5|1:6|1:7|2:0|2:1|2:3|2:4|2:6|2:7|3:0|3:1|3:2|3:3|3:4|3:5|3:6|3:7|3:8|4:2|4:5|4:6|4:7|4:8|4:9|5:5|5:6|5:8|5:9,582
36,1764,0.9653153153153153,2.0,2.0,0.0,2.0,200,truncated,0,0,,1,83,56,0:0|0:1|0:2|0:3|1:0|1:1|1:3|1:4|2:0|2:1|2:3|2:4|3:1|3:2|3:3|3:4|3:5|3:8|4:0|4:1|4:2|4:3|4:4|4:5|4:6|4:8|5:0|5:1|5:2|5:3|5:4|5:5|5:6|5:8|6:0|6:1|6:2|6:3|6:4|6:5|6:8|7:0|7:1|7:2|7:3|7:4|7:5|7:6|7:7|7:8|8:0|8:1|8:2|8:3|8:5|8:6,584
37,1765,0.9643243243243244,2.0,2.0,0.0,2.0,200,truncated,0,0,,1,72,54,0:0|0:1|0:2|0:3|0:4|0:5|0:6|0:7|0:8|0:9|1:0|1:1|1:3|1:4|1:5|1:6|1:8|1:9|2:0|2:1|2:3|2:4|2:5|2:6|3:0|3:1|3:3|3:4|3:5|3:6|4:0|4:1|4:2|4:3|4:4|4:5|4:6|5:0|5:1|5:2|5:3|5:4|5:5|5:6|6:0|6:1|6:2|6:3|6:4|6:5|6:6|7:0|7:1|7:5,585
38,1766,0.9633333333333334,1.0,1.0,0.0,1.0,200,truncated,0,0,,1,55,46,0:0|0:1|0:2|0:3|0:4|0:5|0:6|0:7|1:0|1:1|1:3|1:4|1:5|1:6|1:7|1:8|1:9|2:0|2:3|2:4|2:6|2:7|2:8|2:9|3:0|3:2|3:3|3:4|3:5|3:6|3:7|3:8|3:9|4:0|4:1|4:2|4:3|4:4|4:5|4:6|4:7|4:8|4:9|5:1|5:2|5:3,588
39,1767,0.9623423423423423,1.0,1.0,0.0,1.0,200,truncated,0,0,,1,76,53,0:0|0:1|1:0|1:1|2:0|2:1|3:0|3:1|3:2|3:3|3:4|3:5|3:6|4:0|4:1|4:2|4:3|4:4|4:5|4:6|5:0|5:1|5:2|5:3|5:4|5:5|5:6|6:0|6:1|6:2|6:3|6:4|6:5|6:6|7:1|7:2|7:3|7:4|7:5|7:6|8:0|8:1|8:2|8:3|8:4|8:5|8:6|9:0|9:1|9:2|9:3|9:4|9:5,592
40,1768,0.9613513513513513,2.0,2.0,0.0,2.0,200,truncated,0,0,,1,77,64,0:0|0:1|0:2|0:3|0:4|0:5|1:0|1:1|1:3|1:4|1:5|1:6|1:7|1:8|2:0|2:1|2:4|2:5|2:7|2:8|2:9|3:1|3:8|3:9|4:1|4:2|4:8|5:0|5:1|5:8|5:9|6:0|6:1|6:2|6:6|6:8|6:9|7:0|7:1|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:0|8:1|8:2|8:3|8:4|8:5|8:6|8:7|8:8|8:9|9:0|9:1|9:2|9:6|9:7|9:8|9:9,616
