#{"t_start": 1788024167.0879977, "env_id": "None"}
r,l,t,phase,player_health
-54.059443,1518,586.760526,1,0.0
-9.421841,1800,590.846241,1,58.0
-73.359917,1160,593.59664,1,0.0
-3.754914,1800,597.421999,1,86.0
7.205955,1800,601.195037,2,2.0
57.452423,1800,604.58787,2,44.0
-36.202104,1177,607.236218,1,0.0
7.591374,1800,632.023582,1,58.0
-0.869125,1800,636.273556,2,2.0
-5.926972,1800,640.055478,1,44.0
-64.195638,1530,643.593252,1,0.0
27.502701,1800,647.540419,2,2.0
-23.015607,1800,651.672529,1,44.0
-32.212435,722,653.09586,2,0.0
10.164532,1800,656.803437,1,58.0
-35.59557,1357,660.167898,2,0.0
36.254893,1630,663.190947,2,0.0
-46.262498,858,665.468376,2,0.0
-51.753061,1020,667.85028,1,0.0
-53.794142,632,669.299555,2,0.0
2.07927,1800,674.066029,1,16.0
-55.084328,959,676.631869,2,0.0
3.219728,1800,680.539378,1,44.0
-13.688526,1800,685.101084,2,16.0
-64.200921,1250,688.264147,2,0.0
-49.193885,375,689.11329,2,0.0
-9.307638,1800,693.938584,1,2.0
-53.042717,1114,696.793565,2,0.0
-49.171536,680,698.267101,2,0.0
-15.34719,1800,702.664068,1,58.0
-15.400443,1800,706.951022,1,86.0
-39.970529,816,708.910854,2,0.0
-29.972645,1670,712.57037,1,0.0
-30.250779,1800,716.98961,1,72.0
-9.254765,1800,721.124387,1,44.0
-35.371468,1766,725.423969,1,0.0
-34.38362,1087,727.833346,1,0.0
-43.599125,1681,732.106622,2,0.0
-42.301357,1509,735.865813,2,0.0
-14.938009,1800,739.70047,1,58.0
31.808775,1800,743.204521,1,72.0
-43.364953,1588,759.860065,1,0.0
-12.491294,1800,763.977192,2,16.0
-34.506634,1507,767.578586,1,0.0
-5.022189,1800,771.596945,1,16.0
-23.16896,1800,776.176785,2,16.0
-54.480392,1554,780.110532,1,0.0
-60.492176,1800,784.584134,2,30.0
-15.925036,1800,788.853562,1,16.0
-22.033229,1800,792.94356,1,44.0
-6.839658,1800,797.382354,2,44.0
-66.371861,1248,800.289658,1,0.0
