episode,seed,reward,phase,phases_advanced,simulation_steps,decisions,end_reason,survived_time_limit,enemies_destroyed,spawners_destroyed,damage_dealt,damage_taken,shots_fired,projectile_hits,accuracy,hits_per_projectile,player_level,xp_earned,weapon_name,upgrades_chosen,phase_rewards_chosen,bosses_destroyed,minibosses_destroyed,boss_skills_dodged,boss_skill_hits,boss_rewards_chosen,drone_level,barrier_charges,build_summary,contact_events,crowd_fraction,wall_fraction,mean_enemy_clearance,phase_diagnostics
1,93000,-21.219357,1,0,1794,449,player_destroyed,False,20,0,1075.0,112.0,57,43,0.754386,0.754386,2,120.0,Pulse Cannon,1,0,0,0,0,0,0,0,0,homing:1,8,0.3518930957683742,0.2561247216035635,82.49745067502211,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 8, ""damage"": 112.0, ""frames"": 1794}}"
2,93001,-17.628145,1,0,1720,430,player_destroyed,False,21,0,1125.0,112.0,57,45,0.789474,0.789474,2,126.0,Nova Payload,1,0,0,0,0,0,0,0,0,splash:1,8,0.23953488372093024,0.06279069767441861,86.3867292357015,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 8, ""damage"": 112.0, ""frames"": 1720}}"
3,93002,-32.554197,1,0,914,229,player_destroyed,False,9,0,575.0,112.0,27,23,0.851852,0.851852,1,54.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,,8,0.3930131004366812,0.0,67.2734980326087,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 8, ""damage"": 112.0, ""frames"": 914}}"
4,93003,46.815018,2,1,2564,641,player_destroyed,False,28,2,1818.7487,101.92,77,35,0.454545,0.454545,3,250.0,Nova Payload,2,1,0,0,0,0,0,2,0,splash:1;drone:2,7,0.15912636505460218,0.0,143.46992153774164,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 1748}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 7, ""damage"": 101.92, ""frames"": 816}}"
5,93004,41.144554,2,1,1991,498,player_destroyed,False,20,2,1437.5,100.24,69,36,0.521739,0.521739,2,202.0,Pulse Cannon,1,1,0,0,0,0,0,1,0,drone:1,9,0.21285140562248997,0.018072289156626505,130.28882094603006,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 42.0, ""frames"": 1192}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 6, ""damage"": 58.24, ""frames"": 799}}"
6,93005,21.491986,1,0,3600,900,phase_timeout,True,36,1,1950.0,42.0,174,78,0.448276,0.448276,3,246.0,Nova Payload,2,0,0,0,0,0,0,0,0,multishot:1;splash:1,3,0.08,0.03333333333333333,143.10423374644765,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 42.0, ""frames"": 3600}}"
7,93006,-32.014211,1,0,773,194,player_destroyed,False,8,0,400.0,112.0,24,16,0.666667,0.666667,1,48.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,,8,0.35051546391752575,0.0,101.77274668579123,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 8, ""damage"": 112.0, ""frames"": 773}}"
8,93007,-20.632873,1,0,1740,435,player_destroyed,False,21,0,1125.0,112.0,53,45,0.849057,0.849057,2,126.0,Pulse Cannon,1,0,0,0,0,0,0,0,0,homing:1,8,0.32413793103448274,0.4206896551724138,85.7658063055144,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 8, ""damage"": 112.0, ""frames"": 1740}}"
9,93008,-39.432992,1,0,725,182,player_destroyed,False,5,0,275.0,112.0,19,11,0.578947,0.578947,1,30.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,,8,0.5164835164835165,0.0,86.8965164836354,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 8, ""damage"": 112.0, ""frames"": 725}}"
10,93009,-13.752789,1,0,2114,529,player_destroyed,False,26,0,1353.0,112.0,69,54,0.782609,0.782609,2,156.0,Pulse Cannon,1,0,0,0,0,0,0,0,0,damage:1,8,0.18147448015122875,0.12287334593572778,103.19887280919902,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 8, ""damage"": 112.0, ""frames"": 2114}}"
11,93010,-33.833942,1,0,673,169,player_destroyed,False,6,0,325.0,112.0,26,13,0.5,0.5,1,36.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,,8,0.33136094674556216,0.0,92.93297995455812,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 8, ""damage"": 112.0, ""frames"": 673}}"
12,93011,-30.399574,1,0,992,248,player_destroyed,False,8,0,450.0,112.0,28,18,0.642857,0.642857,1,48.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,,8,0.28225806451612906,0.2701612903225806,78.27436427934619,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 8, ""damage"": 112.0, ""frames"": 992}}"
13,93012,-33.471394,1,0,1162,291,player_destroyed,False,8,0,400.0,112.0,37,16,0.432432,0.432432,1,48.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,,8,0.3127147766323024,0.030927835051546393,131.93426144343994,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 8, ""damage"": 112.0, ""frames"": 1162}}"
14,93013,14.492085,1,0,3600,900,phase_timeout,True,25,1,1375.0,84.0,121,55,0.454545,0.454545,2,180.0,Pulse Cannon,1,0,0,0,0,0,0,0,0,hull:1,6,0.07555555555555556,0.09444444444444444,142.1185281036292,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 6, ""damage"": 84.0, ""frames"": 3600}}"
