episode,seed,reward,phase,phases_advanced,simulation_steps,decisions,end_reason,survived_time_limit,enemies_destroyed,spawners_destroyed,damage_dealt,damage_taken,shots_fired,projectile_hits,accuracy,hits_per_projectile,player_level,xp_earned,weapon_name,upgrades_chosen,phase_rewards_chosen,bosses_destroyed,minibosses_destroyed,boss_skills_dodged,boss_skill_hits,boss_defenders_destroyed,boss_immune_hits,missiles_evaded,missile_hits,boss_rewards_chosen,drone_level,barrier_charges,build_summary,contact_events,crowd_fraction,wall_fraction,mean_enemy_clearance,phase_diagnostics
12,263011,50.451775,3,2,1568,392,player_destroyed,False,3,4,591.0,121.5872,45,22,0.488889,0.488889,3,213.0,Rapid Pulse,2,2,0,0,2,3,0,0,0,0,0,0,0,fire_rate:1;regen:1,3,0.2372448979591837,0.7066326530612245,144.3467680060663,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.0, ""frames"": 232}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 296}, ""3"": {""boss_casts"": 5, ""boss_dodges"": 2, ""boss_hits"": 3, ""contacts"": 2, ""damage"": 107.5872, ""frames"": 1040}}"
13,263012,75.166777,3,2,1037,260,player_destroyed,False,2,4,647.0,109.7824,31,21,0.677419,0.677419,3,206.0,Multi-Beam Array,2,2,0,0,0,1,0,0,0,0,0,0,0,multishot:1;homing:1,5,0.21923076923076923,0.6730769230769231,114.61548110235263,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.0, ""frames"": 376}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 328}, ""3"": {""boss_casts"": 2, ""boss_dodges"": 0, ""boss_hits"": 1, ""contacts"": 4, ""damage"": 95.7824, ""frames"": 333}}"
14,263013,89.439382,3,2,2120,530,player_destroyed,False,11,4,1705.55,133.422,75,60,0.8,0.8,3,354.0,Pulse Cannon,2,2,0,1,4,2,1,24,4,2,0,1,0,shield:1;homing:1;drone:1,4,0.15849056603773584,0.4226415094339623,217.52983729797452,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 28.0, ""frames"": 452}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 412}, ""3"": {""boss_casts"": 6, ""boss_dodges"": 4, ""boss_hits"": 2, ""contacts"": 2, ""damage"": 105.42204000000001, ""frames"": 1256}}"
15,263014,67.888313,3,2,2063,516,player_destroyed,False,10,4,1651.2557,104.1012,55,47,0.854545,0.854545,3,262.0,Pulse Cannon,2,2,0,0,1,3,2,4,6,0,0,2,0,homing:1;drone:2,2,0.14728682170542637,0.6841085271317829,257.9074367928666,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 400}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.489999999999998, ""frames"": 408}, ""3"": {""boss_casts"": 6, ""boss_dodges"": 1, ""boss_hits"": 3, ""contacts"": 1, ""damage"": 89.6112, ""frames"": 1255}}"
16,263015,73.89032,3,2,1882,471,player_destroyed,False,9,4,1483.9,109.9688,89,31,0.348315,0.348315,3,255.0,Prism Laser,2,2,0,0,2,2,0,2,0,1,0,1,0,laser:1;drone:1;critical:1,3,0.14012738853503184,0.6008492569002123,256.58722351083907,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 256}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.489999999999998, ""frames"": 308}, ""3"": {""boss_casts"": 6, ""boss_dodges"": 2, ""boss_hits"": 2, ""contacts"": 2, ""damage"": 95.47879999999999, ""frames"": 1318}}"
17,263016,84.62588,3,2,2306,577,player_destroyed,False,9,4,1680.75,118.5912,50,36,0.72,0.72,3,255.0,Pulse Cannon,2,2,0,0,4,3,2,7,5,0,0,1,0,damage:1;engine:1;drone:1,4,0.18717504332755633,0.6897746967071057,147.59132087640276,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 272}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 28.979999999999997, ""frames"": 348}, ""3"": {""boss_casts"": 8, ""boss_dodges"": 4, ""boss_hits"": 3, ""contacts"": 2, ""damage"": 89.6112, ""frames"": 1686}}"
18,263017,53.08711,3,2,1766,442,player_destroyed,False,1,4,563.5,117.5983,26,21,0.807692,0.807692,3,199.0,Pulse Cannon,2,2,0,0,2,2,0,0,0,0,0,0,0,shield:1;riftbreaker:1,5,0.2420814479638009,0.6855203619909502,117.27369050262925,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 232}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 26.081999999999997, ""frames"": 280}, ""3"": {""boss_casts"": 6, ""boss_dodges"": 2, ""boss_hits"": 2, ""contacts"": 3, ""damage"": 91.51632, ""frames"": 1254}}"
19,263018,60.960526,3,2,1737,435,player_destroyed,False,0,4,461.0,102.3789,24,17,0.708333,0.708333,3,192.0,Pulse Cannon,2,2,0,0,3,2,0,0,0,0,0,0,0,damage:1;shield:1,4,0.11724137931034483,0.7655172413793103,242.4745614668907,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.0, ""frames"": 360}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 13.040999999999999, ""frames"": 232}, ""3"": {""boss_casts"": 5, ""boss_dodges"": 3, ""boss_hits"": 2, ""contacts"": 2, ""damage"": 75.33792, ""frames"": 1145}}"
20,263019,26.700756,2,1,902,226,player_destroyed,False,6,2,585.0,107.9295,29,25,0.862069,0.862069,2,138.0,Pulse Cannon,1,1,0,0,0,0,0,0,0,0,0,0,0,homing:1,9,0.4026548672566372,0.6902654867256637,115.82104354325112,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 42.0, ""frames"": 444}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 6, ""damage"": 65.92949999999999, ""frames"": 458}}"
21,263020,26.323388,2,1,955,239,player_destroyed,False,3,2,662.0,114.45,31,25,0.806452,0.806452,2,117.0,Pulse Cannon,1,1,0,0,0,0,0,0,0,0,0,0,0,damage:1,10,0.42677824267782427,0.6485355648535565,206.248208970598,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 42.0, ""frames"": 460}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 7, ""damage"": 72.44999999999999, ""frames"": 495}}"
22,263021,66.885464,3,2,1094,274,player_destroyed,False,6,4,1021.625,113.9611,47,25,0.531915,0.531915,3,234.0,Pulse Cannon,2,2,0,0,0,2,0,0,0,0,0,1,0,damage:1;shield:1;drone:1,5,0.2773722627737226,0.4197080291970803,72.47265445356672,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 42.0, ""frames"": 244}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 28.979999999999997, ""frames"": 460}, ""3"": {""boss_casts"": 2, ""boss_dodges"": 0, ""boss_hits"": 2, ""contacts"": 0, ""damage"": 42.981120000000004, ""frames"": 390}}"
23,263022,77.741609,3,2,1659,415,player_destroyed,False,10,4,1415.925,108.2228,60,37,0.616667,0.616667,3,262.0,Multi-Beam Array,2,2,0,0,1,2,0,0,0,0,0,1,0,damage:1;multishot:1;drone:1,5,0.1855421686746988,0.4963855421686747,189.37086374540687,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 28.0, ""frames"": 340}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.489999999999998, ""frames"": 496}, ""3"": {""boss_casts"": 4, ""boss_dodges"": 1, ""boss_hits"": 2, ""contacts"": 2, ""damage"": 65.7328, ""frames"": 823}}"
24,263023,39.637021,2,1,823,206,player_destroyed,False,4,3,756.0,108.9095,22,18,0.818182,0.818182,2,158.0,Prism Laser,1,1,0,0,0,0,0,0,0,0,0,1,0,laser:1;drone:1,7,0.39805825242718446,0.6747572815533981,182.0265399380852,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.0, ""frames"": 244}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 6, ""damage"": 94.90949999999998, ""frames"": 579}}"
