control_style,episodes,seed_start,action_repeat,algorithm,timesteps,network,mean_reward,reward_std,mean_phase,max_phase,phase_progression_rate,survival_rate,mean_enemies_destroyed,mean_spawners_destroyed,mean_accuracy,contacts_per_1000_frames,wall_contacts_per_1000_frames,mean_wall_fraction,close_approach_rate,mean_enemy_clearance,mean_hits_per_projectile,mean_player_level,max_player_level,mean_xp_earned,mean_bosses_destroyed,mean_minibosses_destroyed,mean_boss_skills_dodged,mean_boss_skill_hits,mean_drone_level,mean_upgrades_chosen
direct,12,440000,4,DQN,180000,256x256,2371.05273,3454.569917,16.9167,54,1.0,0.666667,370.0,52.0,0.913708,1.176833850868352,3.3207687871037654,0.10178964181013754,0.28716087122659534,143.42747239372895,0.942206,12.6667,27,6532.4167,5.0833,11.6667,26.6667,0.5833,4.0833,11.6667
rotation,16,590000,2,DQN,600000,256x256,113.46716,96.00901,4.0,6,1.0,0.0,36.8125,5.9375,0.785612,2.4492043708878004,1.1738790179994782,0.13304287338955798,0.2608392218441944,146.62890433926958,0.785612,4.5625,6,724.5,0.625,1.0625,5.6875,2.0625,1.0,3.5625
