#{"t_start": 1788109567.4635227, "env_id": "None"}
r,l,t,phase,player_health,episode_enemies_destroyed,episode_spawners_destroyed,episode_phases_advanced,episode_damage_taken,episode_xp_earned,episode_max_level
-34.46126,117,17.698709,1,0.0,2,0,0,112.0,20.0,1
-39.345584,143,17.97071,1,0.0,0,0,0,112.0,0.0,1
-35.839533,164,18.273714,1,0.0,2,0,0,112.0,20.0,1
-38.336561,143,18.534709,1,0.0,0,0,0,112.0,0.0,1
-38.620343,120,18.76171,1,0.0,0,0,0,112.0,0.0,1
-19.398029,203,19.13871,1,0.0,3,1,0,112.0,65.0,2
-37.318161,213,19.559709,1,0.0,2,0,0,112.0,20.0,1
-38.201371,180,19.87671,1,0.0,1,0,0,112.0,10.0,1
-37.642196,187,20.202716,1,0.0,2,0,0,112.0,20.0,1
-38.617931,155,20.45771,1,0.0,0,0,0,112.0,0.0,1
-35.436314,141,20.690709,1,0.0,1,0,0,112.0,10.0,1
-37.808317,153,20.960711,1,0.0,1,0,0,112.0,10.0,1
-38.241032,120,21.155709,1,0.0,0,0,0,112.0,0.0,1
-38.245033,95,21.300709,1,0.0,0,0,0,112.0,0.0,1
-37.448588,110,21.468709,1,0.0,1,0,0,112.0,10.0,1
-24.581663,145,21.716709,1,0.0,0,1,0,112.0,35.0,1
-38.36459,92,21.857709,1,0.0,0,0,0,112.0,0.0,1
-22.442176,207,22.210709,1,0.0,2,1,0,112.0,55.0,2
-37.464888,122,22.408709,1,0.0,0,0,0,112.0,0.0,1
-38.239143,124,22.615709,1,0.0,0,0,0,112.0,0.0,1
-23.878583,101,22.78671,1,0.0,0,1,0,112.0,35.0,1
-35.817591,146,23.049712,1,0.0,2,0,0,112.0,20.0,1
-38.322116,167,23.35971,1,0.0,0,0,0,112.0,0.0,1
-35.062722,120,23.573709,1,0.0,0,0,0,112.0,0.0,1
-36.605556,143,23.819709,1,0.0,1,0,0,112.0,10.0,1
-36.473516,122,24.01671,1,0.0,1,0,0,112.0,10.0,1
-38.837105,136,24.25371,1,0.0,0,0,0,112.0,0.0,1
-37.928534,119,24.44171,1,0.0,1,0,0,112.0,10.0,1
-35.943057,129,24.642709,1,0.0,1,0,0,112.0,10.0,1
-35.76078,173,24.932711,1,0.0,1,0,0,112.0,10.0,1
-34.331464,197,25.272709,1,0.0,3,0,0,112.0,30.0,1
-35.877092,156,25.527711,1,0.0,1,0,0,112.0,10.0,1
-37.80003,141,25.769711,1,0.0,0,0,0,112.0,0.0,1
-36.142015,136,26.006711,1,0.0,1,0,0,112.0,10.0,1
-22.889212,165,26.272711,1,0.0,1,1,0,112.0,45.0,2
46.889414,292,26.766709,2,0.0,8,3,1,100.80000000000001,210.0,4
-37.51353,151,27.031709,1,0.0,1,0,0,112.0,10.0,1
-21.368424,120,27.23771,1,0.0,2,1,0,112.0,55.0,2
-22.899136,294,27.743714,1,0.0,1,1,0,112.0,45.0,2
-38.144894,195,28.107712,1,0.0,0,0,0,112.0,0.0,1
-36.895423,104,28.290709,1,0.0,0,0,0,112.0,0.0,1
-35.030601,128,28.501709,1,0.0,1,0,0,112.0,10.0,1
-34.294969,186,28.83571,1,0.0,3,0,0,112.0,30.0,1
-22.193289,139,29.06671,1,0.0,1,1,0,112.0,45.0,2
-39.506208,195,29.423711,1,0.0,0,0,0,112.0,0.0,1
-37.467332,121,29.627713,1,0.0,0,0,0,112.0,0.0,1
-38.3547,134,29.857709,1,0.0,0,0,0,112.0,0.0,1
