#{"t_start": 1788408764.8758838, "env_id": "None"}
r,l,t,phase,player_health,episode_enemies_destroyed,episode_spawners_destroyed,episode_phases_advanced,episode_damage_taken,episode_xp_earned,episode_max_level,active_minibosses,active_boss_hazards,active_boss_defenders,active_enemy_missiles,drone_level
11425.829831,9000,771.678299,55,165.0,1319,190,54,383.175,23215.0,28,1,0,0,0,11
376.592586,891,774.054295,6,0.0,35,12,5,136.75,938.0,5,0,2,1,1,0
1246.519435,2748,781.918784,13,0.0,210,38,12,345.62285999999995,4103.0,11,0,0,0,0,3
345.735317,1826,787.038779,6,0.0,91,8,3,161.35080000000002,1223.0,6,0,2,0,0,0
61.451588,1050,789.941773,6,32.399999999999984,56,0,0,67.60000000000001,392.0,3,0,2,0,0,0
-26.38325,277,790.701772,6,0.0,15,0,0,107.08000000000001,105.0,2,0,2,0,0,0
137.402499,1343,794.46576,4,35.43560000000663,76,6,3,154.5144,1135.0,6,0,0,0,0,1
1729.256262,2933,802.839168,16,0.0,286,47,15,350.0015,5425.0,13,0,0,0,0,4
-29.508468,475,804.107167,6,0.0,26,0,0,116.11200000000001,182.0,2,0,2,0,0,0
245.534604,1585,808.494159,7,0.0,116,10,4,327.4492,1724.0,7,0,0,0,0,0
332.451589,1610,812.971642,7,0.0,84,10,4,191.77500000000003,1585.0,7,1,0,0,0,1
288.011691,923,815.578636,6,0.0,28,8,3,134.91439999999997,782.0,5,0,2,3,6,0
478.096638,1364,819.244926,7,0.0,59,15,6,144.35,1551.0,7,1,0,0,0,1
37.428256,704,821.406921,7,0.0,38,1,1,176.28699999999998,473.0,4,1,0,0,0,0
12035.807148,9000,919.751126,58,130.0,1185,201,57,397.8234,23135.0,28,0,0,0,0,10
275.864241,877,922.14625,6,0.0,37,8,3,146.5684,1015.0,5,0,2,1,2,1
2206.697579,2559,929.312237,20,0.0,276,59,17,290.11140000000006,6134.0,14,0,0,0,0,7
82.07047,293,930.126235,3,0.0,7,4,2,105.36559999999999,241.0,3,1,2,0,0,1
10941.850797,9000,957.890952,53,195.0,1345,183,52,200.0694,22618.0,27,1,0,0,0,12
290.991313,1288,961.496099,6,0.0,70,8,3,179.48220000000003,1076.0,6,1,0,0,0,2
923.300415,2027,967.114468,10,0.0,164,25,9,163.12099999999998,3195.0,10,0,0,0,0,3
283.781744,1203,970.494457,6,0.0,53,8,3,176.35120000000003,957.0,5,1,3,2,4,2
2761.969401,4246,1023.058538,22,0.0,529,65,19,285.32439999999997,8480.0,16,0,0,0,0,7
81.309044,1050,1026.061531,6,57.133333333337255,55,0,0,67.60000000000001,385.0,3,0,3,0,0,0
13410.952938,9000,1052.971968,62,145.0,1265,216,61,87.08449999999999,24462.0,28,1,0,0,0,11
932.897998,2441,1060.010121,10,0.0,214,25,9,189.01,3630.0,10,0,0,0,0,4
14387.900586,9000,1087.832808,65,190.0,1249,227,64,23.878400000000003,24953.0,29,0,0,0,0,12
334.085008,1498,1147.276215,7,0.0,96,11,4,215.4142,1703.0,7,0,0,0,0,3
-48.010124,475,1148.595212,6,0.0,22,0,0,121.14000000000001,154.0,2,0,2,0,0,0
2703.777504,3375,1158.234136,21,0.0,353,67,20,145.8628,7114.0,15,0,2,0,0,10
1944.011492,4174,1170.715903,17,0.0,579,49,14,341.5484,7771.0,15,0,0,0,0,6
10633.119956,9000,1197.698831,52,175.0,1303,179,51,0.0,21905.0,27,0,0,0,0,12
15.164502,673,1199.652829,6,0.0,34,0,0,101.4,238.0,3,0,2,0,0,0
1204.844896,1965,1205.137036,12,0.0,176,34,11,200.522,3641.0,10,0,2,1,1,3
