#{"t_start": 1788106229.0145102, "env_id": "None"}
r,l,t,phase,player_health,episode_enemies_destroyed,episode_spawners_destroyed,episode_phases_advanced,episode_damage_taken,episode_xp_earned,episode_max_level
-39.478366,80,12.454886,1,0.0,0,0,0,112.0,0.0,1
-20.330399,186,12.736886,1,0.0,2,1,0,112.0,55.0,2
-36.897684,148,12.969887,1,0.0,2,0,0,112.0,20.0,1
-39.499397,92,13.125891,1,0.0,0,0,0,112.0,0.0,1
-35.054988,155,13.371891,1,0.0,2,0,0,112.0,20.0,1
-34.395171,136,13.582886,1,0.0,3,0,0,112.0,30.0,1
-37.192026,103,13.753886,1,0.0,0,0,0,112.0,0.0,1
-40.092732,103,13.907886,1,0.0,0,0,0,112.0,0.0,1
-38.738427,108,14.083886,1,0.0,0,0,0,112.0,0.0,1
-36.301523,102,14.245889,1,0.0,1,0,0,112.0,10.0,1
-36.865746,100,14.391887,1,0.0,0,0,0,112.0,0.0,1
-36.544591,108,14.570886,1,0.0,1,0,0,112.0,10.0,1
-38.117015,110,14.74089,1,0.0,0,0,0,112.0,0.0,1
-37.050727,147,14.978886,1,0.0,1,0,0,112.0,10.0,1
-37.025387,90,15.13489,1,0.0,0,0,0,112.0,0.0,1
-22.068502,162,15.413886,1,0.0,2,1,0,112.0,55.0,2
-24.258168,117,15.590886,1,0.0,0,1,0,112.0,35.0,1
-37.525168,114,15.777888,1,0.0,0,0,0,112.0,0.0,1
-38.491815,88,15.929886,1,0.0,0,0,0,112.0,0.0,1
-37.671875,122,16.120886,1,0.0,0,0,0,112.0,0.0,1
-23.955934,111,16.288886,1,0.0,0,1,0,112.0,35.0,1
-19.255919,150,16.518886,1,0.0,2,1,0,112.0,55.0,2
-37.463341,116,16.699886,1,0.0,1,0,0,112.0,10.0,1
-22.704081,113,16.865891,1,0.0,0,1,0,112.0,35.0,1
-38.552471,116,17.053886,1,0.0,0,0,0,112.0,0.0,1
-40.146943,99,17.20689,1,0.0,0,0,0,112.0,0.0,1
-24.903421,106,17.355888,1,0.0,0,1,0,112.0,35.0,1
-37.421982,199,17.710887,1,0.0,1,0,0,112.0,10.0,1
-37.826766,106,17.905887,1,0.0,1,0,0,112.0,10.0,1
-36.553035,117,18.090886,1,0.0,2,0,0,112.0,20.0,1
-37.894808,127,18.294886,1,0.0,1,0,0,112.0,10.0,1
-35.830573,123,18.492886,1,0.0,2,0,0,112.0,20.0,1
-38.223795,114,18.680886,1,0.0,0,0,0,112.0,0.0,1
-38.988235,99,18.845886,1,0.0,0,0,0,112.0,0.0,1
-23.510595,99,19.020888,1,0.0,1,1,0,112.0,45.0,2
-36.913667,110,19.214886,1,0.0,0,0,0,112.0,0.0,1
64.958511,508,20.121886,2,0.0,25,3,1,130.48000000000002,380.0,5
-35.923921,131,20.320886,1,0.0,2,0,0,112.0,20.0,1
-23.099185,111,20.499886,1,0.0,1,1,0,112.0,45.0,2
-34.572064,217,20.866891,1,0.0,3,0,0,112.0,30.0,1
-24.761588,231,21.264886,1,0.0,10,0,0,112.0,100.0,2
-36.332571,131,21.484886,1,0.0,1,0,0,112.0,10.0,1
-22.755666,138,21.709886,1,0.0,1,1,0,110.88,45.0,2
-35.19633,150,21.969886,1,0.0,1,0,0,112.0,10.0,1
-40.204416,133,22.193888,1,0.0,0,0,0,112.0,0.0,1
-38.646116,100,22.360886,1,0.0,0,0,0,112.0,0.0,1
-20.012662,162,22.626887,1,0.0,2,1,0,112.0,55.0,2
-21.36406,174,22.926886,1,0.0,2,1,0,112.0,55.0,2
-23.953094,140,23.172886,1,0.0,0,1,0,112.0,35.0,1
-39.360224,77,23.304889,1,0.0,0,0,0,112.0,0.0,1
-18.64499,202,23.632889,1,0.0,4,1,0,112.0,75.0,2
-23.877635,116,23.811887,1,0.0,0,1,0,112.0,35.0,1
-22.249464,137,24.037887,1,0.0,1,1,0,112.0,45.0,2
-24.138874,88,24.177887,1,0.0,0,1,0,112.0,35.0,1
-23.769478,148,24.429886,1,0.0,2,1,0,140.0,55.0,2
30.567766,211,24.780886,2,0.0,9,2,1,101.92,185.0,3
-37.221027,116,24.975887,1,0.0,1,0,0,112.0,10.0,1
-22.880259,111,25.165891,1,0.0,1,1,0,112.0,45.0,2
-36.155158,109,25.337887,1,0.0,1,0,0,112.0,10.0,1
-20.760131,157,25.58689,1,0.0,2,1,0,112.0,55.0,2
-37.533798,138,25.822886,1,0.0,1,0,0,112.0,10.0,1
52.156731,355,26.469886,2,0.0,13,3,1,101.92,260.0,4
-37.282351,81,26.590886,1,0.0,0,0,0,112.0,0.0,1
-23.034459,134,26.800886,1,0.0,1,1,0,112.0,45.0,2
-37.619747,88,26.972887,1,0.0,1,0,0,112.0,10.0,1
-34.505944,163,27.248886,1,0.0,3,0,0,112.0,30.0,1
66.80299,364,27.853886,2,0.0,13,4,1,100.80000000000001,295.0,4
45.403897,492,28.767889,2,0.0,28,2,1,173.60000000000002,375.0,5
-22.742261,94,28.916887,1,0.0,1,1,0,112.0,45.0,2
-34.852803,186,29.251887,1,0.0,3,0,0,112.0,30.0,1
-38.127965,115,29.444886,1,0.0,0,0,0,112.0,0.0,1
-20.227425,184,29.735887,1,0.0,3,1,0,112.0,65.0,2
-36.906809,84,29.868886,1,0.0,0,0,0,112.0,0.0,1
-22.096927,112,30.047891,1,0.0,1,1,0,112.0,45.0,2
24.730058,164,30.334886,2,0.0,4,2,1,145.04000000000002,135.0,3
-36.76596,191,30.668886,1,0.0,2,0,0,112.0,20.0,1
-38.729525,153,30.941886,1,0.0,1,0,0,112.0,10.0,1
-35.42,146,31.213886,1,0.0,1,0,0,112.0,10.0,1
-36.499315,173,31.532886,1,0.0,1,0,0,112.0,10.0,1
107.044216,306,32.049888,3,0.0,9,5,2,122.86400000000003,315.0,5
-38.557479,109,32.234886,1,0.0,0,0,0,112.0,0.0,1
-21.86392,170,32.504886,1,0.0,1,1,0,112.0,45.0,2
-17.651309,321,33.030885,1,0.0,6,1,0,126.0,95.0,2
-23.882707,198,33.360887,1,0.0,0,1,0,112.0,35.0,1
-37.633579,193,33.690886,1,0.0,2,0,0,112.0,20.0,1
-18.434716,271,34.158887,1,0.0,4,1,0,112.0,75.0,2
-35.649882,201,34.483886,1,0.0,3,0,0,112.0,30.0,1
-23.013033,145,34.720886,1,0.0,0,1,0,112.0,35.0,1
-22.037992,147,34.980886,1,0.0,2,1,0,126.0,55.0,2
-37.321298,174,35.299888,1,0.0,1,0,0,112.0,10.0,1
-21.985425,161,35.567886,1,0.0,2,1,0,112.0,55.0,2
34.842022,336,36.176887,2,0.0,12,2,1,143.36,215.0,4
-20.348561,219,36.549886,1,0.0,4,1,0,112.0,75.0,2
-21.243746,236,36.944887,1,0.0,2,1,0,112.0,55.0,2
-23.161958,154,37.204887,1,0.0,0,1,0,112.0,35.0,1
-18.524592,173,37.491885,1,0.0,5,1,0,112.0,85.0,2
45.118433,256,37.913886,2,0.0,6,3,1,100.80000000000001,190.0,3
-21.28323,156,38.160887,1,0.0,1,1,0,112.0,45.0,2
-37.793152,155,38.435887,1,0.0,0,0,0,112.0,0.0,1
-16.232909,330,40.928891,1,0.0,6,1,0,112.0,95.0,2
-20.916584,151,41.175886,1,0.0,2,1,0,112.0,55.0,2
-19.494065,308,41.734887,1,0.0,4,1,0,112.0,75.0,2
-22.981715,210,42.087887,1,0.0,0,1,0,112.0,35.0,1
36.105631,313,42.618886,2,0.0,11,2,1,101.36000000000001,205.0,4
21.05715,295,43.163887,2,0.0,4,2,1,187.04000000000002,135.0,3
-9.264599,400,43.862885,1,0.0,10,1,0,112.0,135.0,3
45.593023,236,44.25489,2,0.0,7,3,1,101.92,200.0,4
-21.474295,165,44.532887,1,0.0,3,1,0,126.0,65.0,2
-19.05331,194,44.842885,1,0.0,3,1,0,112.0,65.0,2
-22.252001,138,45.082886,1,0.0,1,1,0,112.0,45.0,2
-36.277711,206,45.475887,1,0.0,2,0,0,112.0,20.0,1
-18.60519,256,45.920886,1,0.0,4,1,0,112.0,75.0,2
51.949779,367,46.578887,2,0.0,13,3,1,131.04,260.0,4
-20.880176,207,46.946887,1,0.0,2,1,0,112.0,55.0,2
