control_style,algorithm,timesteps,network,mean_reward,reward_std,mean_phase,max_phase,phase_progression_rate,survival_rate,mean_enemies_destroyed,mean_spawners_destroyed,mean_accuracy,mean_hits_per_projectile,mean_player_level,max_player_level,mean_xp_earned,mean_bosses_destroyed,mean_minibosses_destroyed,mean_boss_skills_dodged,mean_boss_skill_hits,mean_drone_level,mean_upgrades_chosen
direct,DQN,450000,256x256,517.774193,465.787033,6.1,15,0.9,0.1,53.75,16.95,0.899751,0.923684,6.7,13,1407.25,1.35,0.6,1.95,1.15,1.65,5.7
rotation,DQN,650000,256x256,127.135207,86.20417,3.05,6,1.0,0.0,9.0,5.45,0.611808,0.611808,3.3,7,341.0,0.15,0.05,0.8,0.9,0.8,2.3
